Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
21,11,A,A,Spatial,1,Pool,9/29/2023,16.3,5.241,0.321,0.140,1,6.9,2.290,1,5.4,1.438,1,2.7,0.940,1,1.3,0.573,1,9.00
22,11,A,A,Spatial,2,Pool,9/29/2023,13.0,4.729,0.363,0.204,1,3.3,1.268,1,5.8,1.880,1,3.2,1.274,1,0.7,0.307,1,7.47
23,12,A,A,Spatial,1,Pool,9/29/2023,60.0,15.734,0.262,0.006,3,11.1,3.305,1,3.7,1.229,2,7.2,2.084,5,38.0,9.116,0,
24,12,A,A,Spatial,2,Pool,9/29/2023,60.0,14.514,0.242,0.091,3,15.1,3.750,4,13.0,3.473,4,22.8,4.702,4,9.2,2.588,0,
25,13,A,A,Spatial,1,Pool,9/29/2023,23.4,8.419,0.360,0.050,3,7.1,2.174,3,6.8,2.496,4,5.5,2.185,3,4.0,1.563,1,12.43
26,13,A,A,Spatial,2,Pool,9/29/2023,3.9,1.348,0.345,0.493,0,0.0,0.000,1,3.1,1.115,1,0.8,0.232,0,0.0,0.000,1,1.42
27,14,A,A,Spatial,1,Pool,9/29/2023,60.0,19.376,0.323,0.027,9,34.4,11.579,6,17.9,5.587,2,2.7,0.527,5,5.1,1.683,0,
28,14,A,A,Spatial,2,Pool,9/29/2023,60.0,18.766,0.313,0.072,7,20.1,6.676,7,25.5,7.101,3,5.8,2.205,4,8.6,2.784,0,
29,15,A,A,Spatial,1,Pool,9/29/2023,31.5,7.716,0.245,0.042,4,8.9,2.348,0,0.0,0.000,3,3.7,0.788,6,18.9,4.581,1,17.40
30,15,A,A,Spatial,2,Pool,9/29/2023,7.5,1.965,0.263,0.292,0,0.0,0.000,2,2.3,0.595,2,5.2,1.370,0,0.0,0.000,1,1.69
31,16,A,A,Spatial,1,Pool,9/29/2023,60.0,18.804,0.313,0.018,5,15.2,4.939,2,7.2,2.388,3,12.9,3.637,7,24.7,7.840,0,
32,16,A,A,Spatial,2,Pool,9/29/2023,7.5,2.539,0.337,0.210,1,0.7,0.140,1,0.3,0.124,2,5.1,1.783,1,1.5,0.492,1,1.82
33,17,A,A,Spatial,1,Pool,9/29/2023,55.7,16.002,0.287,0.046,7,23.6,6.655,8,28.7,8.361,2,3.1,0.852,1,0.4,0.134,1,42.39
34,17,A,A,Spatial,2,Pool,9/29/2023,12.4,3.836,0.308,0.153,0,0.0,0.000,1,2.3,0.523,2,9.9,3.261,1,0.3,0.052,1,3.22
55,11,A,A,Spatial,3,Pool,9/29/2023,4.3,1.412,0.330,0.736,1,1.8,0.571,2,1.8,0.604,1,0.7,0.237,0,0.0,0.000,1,1.32
56,11,A,A,Spatial,4,Pool,9/29/2023,15.4,5.785,0.376,0.132,2,2.7,1.031,2,3.9,1.479,2,7.7,2.800,1,1.1,0.475,1,5.59
57,12,A,A,Spatial,3,Pool,9/29/2023,25.3,6.779,0.268,0.159,2,4.6,1.156,1,2.9,0.934,3,10.6,2.675,3,7.1,2.013,1,11.35
58,12,A,A,Spatial,4,Pool,9/29/2023,20.5,6.483,0.316,0.145,2,6.9,2.200,1,1.1,0.308,3,4.7,1.466,4,7.8,2.509,1,11.25
59,13,A,A,Spatial,3,Pool,9/29/2023,4.6,1.799,0.388,0.529,1,1.2,0.571,1,2.0,0.711,1,1.5,0.516,0,0.0,0.000,1,1.63
60,13,A,A,Spatial,4,Pool,9/29/2023,20.0,8.398,0.420,0.061,2,2.0,0.797,1,1.5,0.699,4,10.0,4.148,4,6.5,2.754,1,7.60
61,14,A,A,Spatial,3,Pool,9/29/2023,60.0,18.095,0.302,0.016,5,23.1,6.819,3,7.7,2.819,2,16.3,4.736,4,12.9,3.721,0,
62,14,A,A,Spatial,4,Pool,9/29/2023,60.0,17.254,0.288,0.079,6,30.5,8.795,4,14.2,3.793,1,4.5,1.300,4,10.8,3.367,0,
63,15,A,A,Spatial,3,Pool,9/29/2023,4.2,0.945,0.222,0.624,0,0.0,0.000,0,0.0,0.000,2,4.0,0.880,1,0.3,0.065,1,0.39
64,15,A,A,Spatial,4,Pool,9/29/2023,4.3,1.085,0.254,0.532,0,0.0,0.000,0,0.0,0.000,1,4.3,1.085,0,0.0,0.000,1,0.80
65,16,A,A,Spatial,3,Pool,9/29/2023,7.8,2.403,0.308,0.506,2,1.5,0.520,1,1.1,0.380,1,5.0,1.428,1,0.2,0.075,1,1.49
66,16,A,A,Spatial,4,Pool,9/29/2023,2.7,0.914,0.345,0.778,0,0.0,0.000,0,0.0,0.000,1,1.2,0.421,1,1.4,0.492,1,0.38
67,17,A,A,Spatial,3,Pool,9/29/2023,5.1,1.166,0.227,0.279,0,0.0,0.000,0,0.0,0.000,3,4.0,0.859,2,1.1,0.307,1,0.72
68,17,A,A,Spatial,4,Pool,9/29/2023,1.5,0.343,0.231,0.972,0,0.0,0.000,1,0.5,0.058,1,1.0,0.285,0,0.0,0.000,1,0.03
89,11,A,A,Spatial,5,Pool,9/29/2023,6.7,2.311,0.346,0.358,0,0.0,0.000,1,1.9,0.661,1,4.8,1.649,0,0.0,0.000,1,1.40
90,11,A,A,Spatial,6,Pool,9/29/2023,2.6,0.931,0.362,0.942,1,1.5,0.557,0,0.0,0.000,1,0.9,0.308,1,0.1,0.065,1,0.10
91,12,A,A,Spatial,5,Pool,9/29/2023,14.9,5.079,0.342,0.224,2,6.9,2.368,2,1.7,0.594,2,5.1,1.675,1,1.2,0.442,1,5.55
92,12,A,A,Spatial,6,Pool,9/29/2023,15.7,4.684,0.298,0.139,0,0.0,0.000,2,5.1,1.511,3,8.0,2.387,1,2.5,0.786,1,5.55
93,13,A,A,Spatial,5,Pool,9/29/2023,9.3,3.453,0.369,0.304,1,0.8,0.231,1,1.6,0.762,2,6.3,2.212,1,0.7,0.248,1,1.74
94,13,A,A,Spatial,6,Pool,9/29/2023,14.8,5.804,0.393,0.132,0,0.0,0.000,3,8.7,3.251,3,6.0,2.553,0,0.0,0.000,1,6.22
95,14,A,A,Spatial,5,Pool,9/29/2023,33.9,10.840,0.319,0.112,2,3.9,1.515,2,4.0,1.558,3,15.9,4.098,3,10.2,3.668,1,16.81
96,14,A,A,Spatial,6,Pool,9/29/2023,17.8,6.742,0.380,0.103,1,2.7,1.159,2,3.5,1.434,3,7.5,2.900,2,4.1,1.249,1,9.04
97,15,A,A,Spatial,5,Pool,9/29/2023,10.6,2.532,0.239,0.387,1,1.6,0.319,0,0.0,0.000,2,2.9,0.705,3,6.1,1.508,1,3.37
98,15,A,A,Spatial,6,Pool,9/29/2023,10.7,2.785,0.259,0.194,1,0.8,0.170,3,5.6,1.674,4,4.0,0.879,1,0.3,0.062,1,3.05
99,16,A,A,Spatial,5,Pool,9/29/2023,3.7,1.283,0.344,0.747,0,0.0,0.000,0,0.0,0.000,1,1.7,0.560,1,2.0,0.722,1,0.36
100,16,A,A,Spatial,6,Pool,9/29/2023,4.7,1.606,0.344,0.465,0,0.0,0.000,1,1.1,0.372,1,3.6,1.234,0,0.0,0.000,1,0.65
101,17,A,A,Spatial,5,Pool,9/29/2023,22.1,6.758,0.306,0.157,3,4.5,1.224,0,0.0,0.000,2,4.0,0.956,4,13.6,4.578,1,9.98
102,17,A,A,Spatial,6,Pool,9/29/2023,6.3,1.997,0.317,0.290,0,0.0,0.000,1,1.8,0.720,3,2.6,0.711,1,1.9,0.566,1,1.74
123,11,A,A,Spatial,7,Pool,9/30/2023,11.5,3.228,0.281,0.365,0,0.0,0.000,0,0.0,0.000,1,8.2,2.224,1,3.3,1.004,1,2.66
124,11,A,A,Spatial,8,Pool,9/30/2023,7.2,2.705,0.378,0.419,1,2.6,1.142,1,0.5,0.051,1,1.9,0.569,1,2.2,0.943,1,2.99
125,12,A,A,Spatial,7,Pool,9/30/2023,32.4,7.914,0.244,0.117,2,4.9,1.226,2,4.1,1.118,3,18.1,4.380,3,5.2,1.191,1,10.08
126,12,A,A,Spatial,8,Pool,9/30/2023,12.8,3.082,0.242,0.230,0,0.0,0.000,0,0.0,0.000,1,6.0,1.528,1,6.7,1.554,1,4.45
127,13,A,A,Spatial,7,Pool,9/30/2023,60.0,20.291,0.338,0.082,7,12.1,3.762,4,11.1,3.057,4,10.0,3.664,8,26.7,9.809,0,
128,13,A,A,Spatial,8,Pool,9/30/2023,4.9,1.618,0.328,0.527,1,0.3,0.000,1,1.3,0.503,1,2.7,0.813,1,0.7,0.301,1,0.77
129,14,A,A,Spatial,7,Pool,9/30/2023,13.0,2.850,0.220,0.450,1,2.6,0.682,0,0.0,0.000,1,3.2,0.727,1,7.2,1.440,1,5.92
130,14,A,A,Spatial,8,Pool,9/30/2023,3.3,0.978,0.295,0.825,0,0.0,0.000,0,0.0,0.000,1,1.2,0.348,1,2.1,0.630,1,0.41
131,15,A,A,Spatial,7,Pool,9/30/2023,5.1,1.266,0.247,0.695,0,0.0,0.000,1,3.9,0.975,1,1.2,0.291,0,0.0,0.000,1,1.39
132,15,A,A,Spatial,8,Pool,9/30/2023,5.8,1.532,0.263,0.271,0,0.0,0.000,0,0.0,0.000,2,4.5,1.206,1,1.3,0.327,1,1.46
133,16,A,A,Spatial,7,Pool,9/30/2023,2.7,0.834,0.303,0.856,0,0.0,0.000,0,0.0,0.000,1,1.1,0.264,1,1.7,0.570,1,0.16
134,16,A,A,Spatial,8,Pool,9/30/2023,3.1,0.801,0.262,0.739,0,0.0,0.000,1,1.6,0.306,1,1.5,0.495,0,0.0,0.000,1,0.56
135,17,A,A,Spatial,7,Pool,9/30/2023,6.6,1.539,0.232,0.560,0,0.0,0.000,1,2.2,0.637,2,1.9,0.359,1,2.5,0.543,1,0.95
136,17,A,A,Spatial,8,Pool,9/30/2023,4.1,1.065,0.262,0.573,0,0.0,0.000,1,3.1,0.819,1,0.9,0.247,0,0.0,0.000,1,1.12
157,11,A,A,Spatial,9,Pool,9/30/2023,3.7,1.240,0.338,0.940,1,1.5,0.407,0,0.0,0.000,1,0.9,0.302,1,1.2,0.531,1,0.37
158,11,A,A,Spatial,10,Pool,9/30/2023,6.3,2.202,0.352,0.377,0,0.0,0.000,0,0.0,0.000,1,4.8,1.685,1,1.4,0.517,1,1.38
159,12,A,A,Spatial,9,Pool,9/30/2023,6.4,1.484,0.233,0.687,0,0.0,0.000,1,2.8,0.779,1,3.6,0.705,0,0.0,0.000,1,0.40
160,12,A,A,Spatial,10,Pool,9/30/2023,6.2,1.218,0.195,0.578,0,0.0,0.000,0,0.0,0.000,1,2.4,0.535,1,3.8,0.683,1,1.16
161,13,A,A,Spatial,9,Pool,9/30/2023,3.3,1.229,0.371,0.785,1,0.6,0.294,2,1.7,0.675,1,0.9,0.260,0,0.0,0.000,1,0.59
162,13,A,A,Spatial,10,Pool,9/30/2023,1.5,0.396,0.259,0.974,0,0.0,0.000,0,0.0,0.000,1,1.5,0.396,0,0.0,0.000,1,0.04
163,14,A,A,Spatial,9,Pool,9/30/2023,5.9,1.602,0.271,0.678,1,0.6,0.000,0,0.0,0.000,1,1.5,0.302,1,3.8,1.299,1,1.79
164,14,A,A,Spatial,10,Pool,9/30/2023,29.0,9.430,0.326,0.126,3,7.8,2.687,2,5.3,1.591,4,10.3,3.197,4,5.6,1.956,1,12.01
165,15,A,A,Spatial,9,Pool,9/30/2023,1.6,0.391,0.251,0.960,0,0.0,0.000,0,0.0,0.000,1,1.5,0.391,0,0.0,0.000,1,0.03
166,15,A,A,Spatial,10,Pool,9/30/2023,3.8,1.172,0.311,0.563,0,0.0,0.000,1,3.0,0.933,1,0.8,0.238,0,0.0,0.000,1,0.99
167,16,A,A,Spatial,9,Pool,9/30/2023,9.1,2.922,0.320,0.389,1,1.9,0.725,0,0.0,0.000,2,5.4,1.546,2,1.9,0.651,1,1.53
168,16,A,A,Spatial,10,Pool,9/30/2023,4.1,1.152,0.279,0.540,0,0.0,0.000,0,0.0,0.000,1,0.7,0.188,1,3.5,0.964,1,0.85
169,17,A,A,Spatial,9,Pool,9/30/2023,7.2,1.578,0.219,0.227,0,0.0,0.000,0,0.0,0.000,2,4.1,0.812,1,3.1,0.766,1,1.61
170,17,A,A,Spatial,10,Pool,9/30/2023,3.1,0.778,0.252,0.836,0,0.0,0.000,1,1.1,0.253,1,2.0,0.526,0,0.0,0.000,1,0.13
191,11,A,A,Spatial,11,Pool,9/30/2023,7.0,2.055,0.295,0.402,0,0.0,0.000,0,0.0,0.000,1,5.3,1.543,1,1.6,0.511,1,1.32
192,11,A,A,Spatial,12,Pool,9/30/2023,11.8,3.846,0.326,0.162,0,0.0,0.000,1,1.6,0.467,2,9.5,3.153,1,0.7,0.226,1,2.89
193,12,A,A,Spatial,11,Pool,9/30/2023,9.2,1.929,0.210,0.432,0,0.0,0.000,2,3.6,0.885,2,5.6,1.044,0,0.0,0.000,1,1.21
194,12,A,A,Spatial,12,Pool,9/30/2023,3.9,0.882,0.227,0.675,0,0.0,0.000,1,2.8,0.609,1,1.1,0.273,0,0.0,0.000,1,0.83
195,13,A,A,Spatial,11,Pool,9/30/2023,12.0,4.105,0.341,0.318,2,1.4,0.503,1,0.4,0.117,3,4.3,1.302,3,6.0,2.183,1,3.10
196,13,A,A,Spatial,12,Pool,9/30/2023,1.8,0.551,0.306,0.941,0,0.0,0.000,1,1.0,0.294,1,0.8,0.257,0,0.0,0.000,1,0.07
197,14,A,A,Spatial,11,Pool,9/30/2023,4.1,1.411,0.343,0.793,0,0.0,0.000,0,0.0,0.000,1,1.1,0.225,1,3.0,1.185,1,0.52
198,14,A,A,Spatial,12,Pool,9/30/2023,2.4,0.689,0.285,0.771,0,0.0,0.000,0,0.0,0.000,1,2.4,0.689,0,0.0,0.000,1,0.26
199,15,A,A,Spatial,11,Pool,9/30/2023,6.8,2.009,0.293,0.620,1,4.0,1.088,1,2.0,0.677,1,0.8,0.243,0,0.0,0.000,1,3.17
200,15,A,A,Spatial,12,Pool,9/30/2023,4.2,0.958,0.228,0.517,0,0.0,0.000,1,1.7,0.631,2,2.5,0.327,0,0.0,0.000,1,1.06
201,16,A,A,Spatial,11,Pool,9/30/2023,4.2,1.043,0.248,0.764,0,0.0,0.000,0,0.0,0.000,1,1.1,0.263,1,3.1,0.780,1,0.36
202,16,A,A,Spatial,12,Pool,9/30/2023,2.9,0.856,0.293,0.888,0,0.0,0.000,1,1.3,0.420,1,1.7,0.436,0,0.0,0.000,1,0.11
203,17,A,A,Spatial,11,Pool,9/30/2023,2.2,0.528,0.245,0.906,0,0.0,0.000,0,0.0,0.000,1,2.1,0.528,0,0.0,0.000,1,0.09
204,17,A,A,Spatial,12,Pool,9/30/2023,1.3,0.281,0.219,0.939,0,0.0,0.000,0,0.0,0.000,1,1.3,0.281,0,0.0,0.000,1,0.05
215,11,A,A,Probe,1,Pool,9/30/2023,60.0,18.856,0.314,0.079,3,4.4,1.491,5,9.2,3.270,11,36.8,10.867,4,6.1,2.258,6,1.12
216,12,A,A,Probe,1,Pool,9/30/2023,60.0,11.471,0.191,0.081,2,1.6,0.470,5,10.7,2.342,11,35.0,6.211,5,10.9,2.131,3,0.68
217,13,A,A,Probe,1,Pool,9/30/2023,60.0,20.878,0.348,0.027,2,2.3,0.770,7,13.0,4.763,13,31.4,10.646,4,11.7,4.236,4,0.31
218,14,A,A,Probe,1,Pool,9/30/2023,60.0,19.064,0.318,0.032,3,7.5,2.730,7,15.1,5.062,10,29.2,7.975,3,7.0,2.772,4,0.45
219,15,A,A,Probe,1,Pool,9/30/2023,60.0,17.269,0.288,0.060,2,2.7,0.859,6,11.3,3.631,12,40.3,10.903,5,3.9,1.192,4,2.68
220,16,A,A,Probe,1,Pool,9/30/2023,60.0,17.726,0.295,0.038,1,0.9,0.262,5,11.4,3.739,13,37.3,10.682,4,8.7,2.469,5,3.16
221,17,A,A,Probe,1,Pool,9/30/2023,60.0,18.256,0.304,0.027,5,7.9,2.537,7,9.8,2.783,16,30.8,9.239,5,8.1,2.724,9,0.25
