Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q2 : entries,Q2 : time (s),Q3 : entries,Q3 : time (s),Q4 : entries,Q4 : time (s),Platform : entries,Platform : CIPL (m·s)
179,30,b,B,Spatial,5,Pool,1.6,0.425,0.270,0.952,0,0.0,0,0.0,1,1.6,0,0.0,1,0.03
180,30,b,B,Spatial,6,Pool,16.7,6.808,0.408,0.154,2,1.8,1,0.1,2,11.5,2,3.3,1,4.44
181,1,a,A,Spatial,7,Pool,60.0,18.591,0.310,0.059,6,15.6,3,7.7,4,11.6,6,25.1,0,39.17
182,1,a,A,Spatial,8,Pool,11.6,3.941,0.339,0.294,3,3.6,2,5.7,1,0.8,1,1.5,1,5.83
183,2,a,A,Spatial,7,Pool,1.4,0.327,0.242,0.967,0,0.0,0,0.0,1,1.3,0,0.0,1,0.05
184,2,a,A,Spatial,8,Pool,6.2,1.896,0.304,0.284,0,0.0,1,2.5,1,3.7,0,0.0,1,1.44
185,3,a,A,Spatial,7,Pool,7.0,1.757,0.250,0.303,0,0.0,0,0.0,2,3.2,2,3.8,1,1.39
186,3,a,A,Spatial,8,Pool,2.1,0.730,0.348,0.919,0,0.0,1,1.0,1,1.1,0,0.0,1,0.09
187,4,a,A,Spatial,7,Pool,27.6,8.644,0.313,0.095,2,7.6,4,12.1,3,6.1,1,1.9,1,15.29
188,4,a,A,Spatial,8,Pool,7.2,1.990,0.278,0.493,1,1.2,0,0.0,1,1.1,2,4.9,1,2.20
189,5,a,A,Spatial,7,Pool,35.1,9.494,0.270,0.076,1,2.8,1,0.4,4,7.4,5,24.5,1,17.07
190,5,a,A,Spatial,8,Pool,9.2,3.351,0.365,0.234,1,1.2,2,2.8,2,4.1,1,1.1,1,2.52
191,6,a,A,Spatial,7,Pool,5.0,1.725,0.343,0.601,0,0.0,0,0.0,1,2.1,1,2.9,1,1.62
192,6,a,A,Spatial,8,Pool,5.8,2.237,0.384,0.443,1,1.7,2,2.6,2,1.6,0,0.0,1,1.37
193,7,a,A,Spatial,7,Pool,23.6,6.164,0.261,0.143,2,8.1,3,12.4,2,2.8,1,0.3,1,15.07
194,7,a,A,Spatial,8,Pool,5.7,1.622,0.284,0.460,0,0.0,1,1.1,1,4.6,0,0.0,1,0.92
195,8,a,A,Spatial,7,Pool,9.9,3.104,0.314,0.305,2,4.4,0,0.0,1,3.0,3,2.5,1,4.35
196,8,a,A,Spatial,8,Pool,7.8,2.995,0.382,0.362,1,4.4,0,0.0,1,2.1,1,1.3,1,4.20
197,9,a,A,Spatial,7,Pool,7.9,3.131,0.396,0.137,0,0.0,2,0.9,2,7.0,0,0.0,1,1.92
198,9,a,A,Spatial,8,Pool,2.9,1.196,0.406,0.776,0,0.0,0,0.0,1,1.1,1,1.9,1,0.48
199,10,a,A,Spatial,7,Pool,21.5,7.324,0.341,0.150,3,5.9,2,6.5,1,5.2,1,3.9,1,12.42
200,10,a,A,Spatial,8,Pool,41.1,13.423,0.327,0.032,2,8.5,1,2.7,3,5.5,4,24.4,1,27.40
201,11,a,A,Spatial,7,Pool,7.5,2.145,0.285,0.498,2,2.7,2,3.9,1,0.9,0,0.0,1,3.79
202,11,a,A,Spatial,8,Pool,2.0,0.719,0.359,0.952,0,0.0,0,0.0,1,0.8,1,1.2,1,0.09
203,12,a,A,Spatial,7,Pool,5.9,1.741,0.295,0.627,1,0.9,0,0.0,1,0.9,2,4.0,1,2.24
204,12,a,A,Spatial,8,Pool,3.4,1.277,0.378,0.705,0,0.0,1,2.4,1,0.9,0,0.0,1,0.70
205,13,a,A,Spatial,7,Pool,25.0,7.983,0.320,0.103,1,2.8,3,10.9,3,9.0,1,2.3,1,11.75
206,13,a,A,Spatial,8,Pool,6.3,1.846,0.291,0.578,2,2.1,1,2.4,1,1.2,1,0.7,1,2.11
207,14,a,A,Spatial,7,Pool,3.6,1.178,0.329,0.852,1,1.4,0,0.0,1,0.8,1,1.3,1,0.37
208,14,a,A,Spatial,8,Pool,9.6,3.408,0.354,0.151,1,2.9,2,1.1,2,5.6,0,0.0,1,3.51
209,15,a,A,Spatial,7,Pool,14.6,4.829,0.331,0.159,3,5.4,3,5.8,1,1.1,1,2.4,1,8.56
210,15,a,A,Spatial,8,Pool,5.5,1.993,0.365,0.608,1,2.9,1,1.9,1,0.7,0,0.0,1,2.51
211,16,b,B,Spatial,7,Pool,11.5,3.773,0.329,0.319,1,2.8,1,2.3,3,4.9,2,1.5,1,3.09
212,16,b,B,Spatial,8,Pool,2.4,0.766,0.319,0.755,0,0.0,0,0.0,1,2.4,0,0.0,1,0.23
213,17,b,B,Spatial,7,Pool,15.8,5.158,0.326,0.183,1,0.0,2,4.2,2,9.6,1,2.0,1,4.03
214,17,b,B,Spatial,8,Pool,3.7,1.272,0.342,0.648,0,0.0,0,0.0,1,2.6,1,1.1,1,0.64
215,18,b,B,Spatial,7,Pool,18.6,6.539,0.351,0.186,3,5.0,2,4.1,2,5.5,2,4.0,1,8.16
216,18,b,B,Spatial,8,Pool,2.8,1.016,0.360,0.825,0,0.0,0,0.0,1,1.2,1,1.6,1,0.39
217,19,b,B,Spatial,7,Pool,5.3,1.879,0.351,0.664,1,1.2,0,0.0,1,2.8,1,1.3,1,0.60
218,19,b,B,Spatial,8,Pool,6.9,2.341,0.338,0.382,0,0.0,2,2.1,2,4.8,0,0.0,1,1.35
219,20,b,B,Spatial,7,Pool,4.8,1.539,0.323,0.835,1,2.7,1,0.9,1,1.1,0,0.0,1,1.02
220,20,b,B,Spatial,8,Pool,2.9,1.037,0.354,0.599,0,0.0,0,0.0,1,2.9,0,0.0,1,0.47
221,21,b,B,Spatial,7,Pool,27.6,9.269,0.336,0.051,4,7.3,3,4.7,3,3.5,4,12.1,1,16.57
222,21,b,B,Spatial,8,Pool,5.9,2.049,0.349,0.306,1,0.4,2,2.2,2,2.4,1,0.8,1,1.77
223,22,b,B,Spatial,7,Pool,14.7,4.138,0.281,0.040,1,1.5,2,2.1,3,6.1,1,5.1,1,5.96
224,22,b,B,Spatial,8,Pool,3.3,1.230,0.369,0.921,1,2.1,0,0.0,1,0.9,1,0.3,1,0.19
225,23,b,B,Spatial,7,Pool,8.2,2.331,0.286,0.436,1,0.9,1,6.0,1,1.2,0,0.0,1,2.89
226,23,b,B,Spatial,8,Pool,10.4,3.214,0.311,0.274,0,0.0,0,0.0,3,5.7,3,4.6,1,2.07
227,24,b,B,Spatial,7,Pool,10.7,3.385,0.317,0.347,1,2.4,1,0.7,2,2.3,2,5.3,1,3.89
228,24,b,B,Spatial,8,Pool,11.5,4.053,0.353,0.230,1,1.1,3,6.0,2,4.4,0,0.0,1,4.03
229,25,b,B,Spatial,7,Pool,11.9,3.967,0.333,0.219,1,3.6,0,0.0,1,4.4,2,3.9,1,5.99
230,25,b,B,Spatial,8,Pool,11.1,3.870,0.348,0.179,1,2.5,1,2.8,1,0.9,1,4.8,1,6.28
231,26,b,B,Spatial,7,Pool,29.1,9.362,0.322,0.111,2,6.3,1,0.4,3,8.1,4,14.3,1,16.22
232,26,b,B,Spatial,8,Pool,8.9,3.051,0.344,0.353,1,1.5,1,2.4,2,4.3,1,0.7,1,2.28
233,27,b,B,Spatial,7,Pool,2.9,0.904,0.309,0.737,0,0.0,1,2.1,1,0.8,0,0.0,1,0.45
234,27,b,B,Spatial,8,Pool,10.8,3.767,0.349,0.304,0,0.0,1,0.3,3,6.9,2,3.6,1,2.13
235,28,b,B,Spatial,7,Pool,60.0,15.422,0.257,0.043,6,22.3,2,5.7,3,10.9,7,21.1,0,42.63
236,28,b,B,Spatial,8,Pool,9.4,2.681,0.287,0.159,0,0.0,0,0.0,2,5.4,2,3.9,1,3.48
237,29,b,B,Spatial,7,Pool,3.3,1.156,0.356,0.822,0,0.0,1,2.2,1,1.1,0,0.0,1,0.36
238,29,b,B,Spatial,8,Pool,5.7,1.941,0.341,0.378,0,0.0,0,0.0,1,4.4,1,1.3,1,1.02
239,30,b,B,Spatial,7,Pool,1.9,0.570,0.297,0.943,0,0.0,0,0.0,1,1.1,1,0.8,1,0.03
240,30,b,B,Spatial,8,Pool,11.5,4.205,0.366,0.260,3,8.6,1,0.7,1,0.8,2,1.5,1,6.67
241,1,a,A,Spatial,9,Pool,10.4,3.207,0.309,0.316,2,0.8,2,2.7,2,5.1,2,1.7,1,1.84
242,1,a,A,Spatial,10,Pool,10.3,3.433,0.332,0.258,0,0.0,0,0.0,2,3.3,2,7.0,1,3.49
243,2,a,A,Spatial,9,Pool,4.4,1.328,0.305,0.660,0,0.0,1,3.1,1,1.2,0,0.0,1,0.83
244,2,a,A,Spatial,10,Pool,2.7,0.922,0.341,0.928,1,1.2,1,0.3,2,1.1,1,0.1,1,0.15
245,3,a,A,Spatial,9,Pool,3.5,0.980,0.282,0.585,0,0.0,0,0.0,1,3.5,0,0.0,1,0.32
246,3,a,A,Spatial,10,Pool,5.3,1.712,0.326,0.658,1,1.6,0,0.0,1,3.2,1,0.4,1,0.46
247,4,a,A,Spatial,9,Pool,6.1,2.100,0.345,0.480,1,1.3,1,0.7,1,3.5,1,0.6,1,1.28
248,4,a,A,Spatial,10,Pool,4.7,1.412,0.303,0.489,0,0.0,1,1.1,1,3.5,0,0.0,1,0.49
249,5,a,A,Spatial,9,Pool,9.8,3.396,0.347,0.393,2,3.3,1,0.9,2,3.4,2,2.1,1,2.65
250,5,a,A,Spatial,10,Pool,1.7,0.587,0.351,0.965,0,0.0,1,0.9,1,0.8,0,0.0,1,0.07
251,6,a,A,Spatial,9,Pool,7.1,2.305,0.324,0.261,0,0.0,1,1.2,1,5.9,0,0.0,1,1.65
252,6,a,A,Spatial,10,Pool,40.9,15.507,0.379,0.076,2,3.9,5,15.2,5,20.3,1,1.5,1,16.73
253,7,a,A,Spatial,9,Pool,1.9,0.539,0.279,0.918,0,0.0,0,0.0,1,1.9,0,0.0,1,0.12
254,7,a,A,Spatial,10,Pool,2.9,1.032,0.360,0.929,0,0.0,1,1.8,1,1.1,0,0.0,1,0.14
255,8,a,A,Spatial,9,Pool,2.9,1.092,0.379,0.557,0,0.0,0,0.0,1,2.9,0,0.0,1,0.42
256,8,a,A,Spatial,10,Pool,3.4,1.317,0.385,0.866,0,0.0,1,2.5,1,0.9,0,0.0,1,0.49
257,9,a,A,Spatial,9,Pool,6.5,2.521,0.389,0.449,1,2.3,1,1.9,2,2.1,1,0.1,1,1.52
258,9,a,A,Spatial,10,Pool,3.4,1.344,0.390,0.662,0,0.0,0,0.0,1,2.1,1,1.3,1,0.70
259,10,a,A,Spatial,9,Pool,2.5,0.853,0.338,0.859,0,0.0,1,1.6,1,0.9,0,0.0,1,0.21
260,10,a,A,Spatial,10,Pool,17.5,6.035,0.345,0.168,0,0.0,1,0.7,3,4.9,3,11.9,1,5.58
261,11,a,A,Spatial,9,Pool,6.3,2.235,0.353,0.376,0,0.0,1,2.0,1,4.3,0,0.0,1,1.33
262,11,a,A,Spatial,10,Pool,6.1,2.034,0.333,0.423,2,2.0,1,0.9,2,1.9,2,1.3,1,1.24
263,12,a,A,Spatial,9,Pool,5.0,1.679,0.334,0.566,0,0.0,1,2.0,1,3.1,0,0.0,1,0.80
264,12,a,A,Spatial,10,Pool,2.7,0.999,0.375,0.647,0,0.0,0,0.0,1,2.6,0,0.0,1,0.41
265,13,a,A,Spatial,9,Pool,8.1,1.978,0.243,0.282,0,0.0,0,0.0,1,2.1,1,6.0,1,3.75
266,13,a,A,Spatial,10,Pool,22.4,7.015,0.314,0.061,1,1.1,2,7.4,2,7.2,2,6.7,1,10.19
267,14,a,A,Spatial,9,Pool,4.6,1.569,0.342,0.774,1,2.2,0,0.0,1,1.6,1,0.8,1,0.59
268,14,a,A,Spatial,10,Pool,2.7,0.932,0.346,0.919,1,1.5,1,0.1,1,1.1,0,0.0,1,0.20
269,15,a,A,Spatial,9,Pool,19.2,7.036,0.367,0.136,3,5.2,1,1.1,2,1.7,4,11.2,1,11.26
270,15,a,A,Spatial,10,Pool,60.0,22.416,0.374,0.050,7,18.0,6,15.6,5,12.2,6,14.1,0,40.81
271,16,b,B,Spatial,9,Pool,3.7,1.108,0.301,0.910,0,0.0,1,2.7,1,0.9,0,0.0,1,0.26
272,16,b,B,Spatial,10,Pool,2.8,0.801,0.287,0.659,0,0.0,0,0.0,1,2.8,0,0.0,1,0.16
273,17,b,B,Spatial,9,Pool,3.2,1.028,0.321,0.700,0,0.0,1,2.1,1,1.1,0,0.0,1,0.54
274,17,b,B,Spatial,10,Pool,3.7,1.257,0.341,0.954,1,1.6,0,0.0,1,1.1,1,0.9,1,0.11
275,18,b,B,Spatial,9,Pool,5.5,1.857,0.339,0.149,0,0.0,0,0.0,2,2.7,1,2.8,1,1.79
276,18,b,B,Spatial,10,Pool,3.9,1.489,0.384,0.651,0,0.0,1,2.8,1,1.1,0,0.0,1,0.99
277,19,b,B,Spatial,9,Pool,8.0,2.621,0.329,0.363,2,3.0,1,0.5,1,1.0,3,3.4,1,3.71
278,19,b,B,Spatial,10,Pool,5.8,2.049,0.353,0.565,1,1.9,2,1.6,2,2.3,0,0.0,1,0.82
279,20,b,B,Spatial,9,Pool,6.8,2.248,0.331,0.410,0,0.0,0,0.0,2,3.3,2,3.4,1,1.78
280,20,b,B,Spatial,10,Pool,3.0,1.091,0.363,0.979,1,1.7,1,0.4,1,0.9,0,0.0,1,0.10
281,21,b,B,Spatial,9,Pool,2.3,0.761,0.333,0.756,0,0.0,1,1.3,1,0.9,0,0.0,1,0.16
282,21,b,B,Spatial,10,Pool,5.3,1.944,0.367,0.562,1,2.8,0,0.0,1,1.1,1,1.4,1,2.25
283,22,b,B,Spatial,9,Pool,1.3,0.341,0.271,0.877,0,0.0,0,0.0,1,1.2,0,0.0,1,0.05
284,22,b,B,Spatial,10,Pool,4.3,1.418,0.328,0.722,0,0.0,0,0.0,1,1.3,1,3.0,1,1.07
285,23,b,B,Spatial,9,Pool,11.4,3.532,0.309,0.307,0,0.0,0,0.0,1,3.1,1,8.4,1,6.42
286,23,b,B,Spatial,10,Pool,5.2,1.716,0.331,0.564,0,0.0,1,1.9,1,3.3,0,0.0,1,0.71
287,24,b,B,Spatial,9,Pool,4.4,1.565,0.358,0.800,1,1.8,1,1.6,1,0.9,0,0.0,1,1.18
288,24,b,B,Spatial,10,Pool,12.6,4.515,0.357,0.200,2,1.0,2,2.4,2,6.3,2,3.0,1,3.55
289,25,b,B,Spatial,9,Pool,11.9,4.336,0.363,0.212,2,1.6,2,2.6,2,5.1,2,2.5,1,3.81
290,25,b,B,Spatial,10,Pool,1.4,0.437,0.310,0.977,0,0.0,0,0.0,1,1.4,0,0.0,1,0.05
291,26,b,B,Spatial,9,Pool,6.8,2.036,0.298,0.491,1,1.2,1,4.0,1,1.6,0,0.0,1,2.86
292,26,b,B,Spatial,10,Pool,2.6,0.850,0.331,0.907,0,0.0,1,1.6,1,0.9,0,0.0,1,0.25
293,27,b,B,Spatial,9,Pool,4.8,1.376,0.285,0.611,0,0.0,0,0.0,1,2.8,1,2.0,1,0.66
294,27,b,B,Spatial,10,Pool,4.5,1.394,0.313,0.492,0,0.0,1,2.4,1,0.8,1,1.2,1,1.00
295,28,b,B,Spatial,9,Pool,8.4,3.082,0.369,0.404,1,0.9,1,2.2,2,4.1,1,1.1,1,2.31
296,28,b,B,Spatial,10,Pool,3.6,0.944,0.259,0.434,0,0.0,0,0.0,1,3.3,1,0.4,1,0.80
297,29,b,B,Spatial,9,Pool,13.5,4.302,0.318,0.242,3,3.1,0,0.0,1,1.5,4,9.0,1,5.96
298,29,b,B,Spatial,10,Pool,3.4,1.178,0.349,0.345,0,0.0,0,0.0,1,3.4,0,0.0,1,0.38
299,30,b,B,Spatial,9,Pool,3.3,1.398,0.422,0.810,1,2.0,0,0.0,1,0.7,1,0.7,1,0.61
300,30,b,B,Spatial,10,Pool,5.8,2.353,0.406,0.514,0,0.0,0,0.0,1,3.2,1,2.6,1,1.20
301,1,a,A,Spatial,11,Pool,4.6,1.394,0.302,0.490,0,0.0,1,2.7,1,1.9,0,0.0,1,0.91
302,1,a,A,Spatial,12,Pool,5.9,1.913,0.325,0.423,0,0.0,0,0.0,1,4.1,1,1.7,1,0.91
303,2,a,A,Spatial,11,Pool,8.5,2.634,0.310,0.200,0,0.0,0,0.0,1,8.5,0,0.0,1,1.82
304,2,a,A,Spatial,12,Pool,3.4,1.327,0.388,0.845,1,2.1,1,0.7,1,0.7,0,0.0,1,0.63
305,3,a,A,Spatial,11,Pool,5.6,1.946,0.349,0.511,1,1.6,0,0.0,1,3.1,1,0.9,1,0.81
306,3,a,A,Spatial,12,Pool,2.9,1.128,0.383,0.914,1,1.7,0,0.0,1,0.6,1,0.7,1,0.36
307,4,a,A,Spatial,11,Pool,6.1,1.974,0.324,0.574,1,1.7,1,3.3,1,1.1,0,0.0,1,1.44
308,4,a,A,Spatial,12,Pool,4.5,1.320,0.294,0.470,0,0.0,1,1.4,1,3.1,0,0.0,1,0.83
309,5,a,A,Spatial,11,Pool,23.4,8.666,0.370,0.117,1,0.2,2,2.9,3,15.6,2,4.7,1,5.83
310,5,a,A,Spatial,12,Pool,2.5,0.917,0.362,0.978,1,0.5,1,1.2,1,0.8,0,0.0,1,0.09
311,6,a,A,Spatial,11,Pool,9.1,3.133,0.344,0.277,0,0.0,1,5.9,1,3.2,0,0.0,1,3.68
312,6,a,A,Spatial,12,Pool,5.1,1.868,0.366,0.276,0,0.0,0,0.0,1,3.9,1,1.2,1,1.34
313,7,a,A,Spatial,11,Pool,3.0,0.894,0.299,0.873,0,0.0,0,0.0,1,1.3,1,1.7,1,0.08
314,7,a,A,Spatial,12,Pool,2.2,0.622,0.286,0.928,0,0.0,1,0.7,1,1.4,0,0.0,1,0.09
315,8,a,A,Spatial,11,Pool,14.1,5.362,0.381,0.209,1,2.0,0,0.0,2,2.4,3,9.6,1,6.54
316,8,a,A,Spatial,12,Pool,5.2,1.995,0.381,0.353,0,0.0,1,1.9,1,3.3,0,0.0,1,1.01
317,9,a,A,Spatial,11,Pool,7.8,2.384,0.304,0.175,0,0.0,0,0.0,2,6.1,1,1.7,1,1.64
318,9,a,A,Spatial,12,Pool,6.8,2.631,0.390,0.353,1,0.9,3,3.3,2,2.5,0,0.0,1,2.02
319,10,a,A,Spatial,11,Pool,3.5,1.174,0.336,0.788,0,0.0,1,2.5,1,0.9,0,0.0,1,0.56
320,10,a,A,Spatial,12,Pool,5.3,1.788,0.338,0.509,1,0.2,1,2.2,1,1.2,1,1.7,1,1.08
321,11,a,A,Spatial,11,Pool,3.2,1.084,0.341,0.561,0,0.0,1,2.0,1,1.2,0,0.0,1,0.70
322,11,a,A,Spatial,12,Pool,2.6,0.783,0.300,0.890,0,0.0,0,0.0,1,1.2,1,1.4,1,0.16
323,12,a,A,Spatial,11,Pool,4.9,1.449,0.297,0.633,0,0.0,1,2.1,1,2.8,0,0.0,1,0.68
324,12,a,A,Spatial,12,Pool,1.5,0.357,0.236,0.912,0,0.0,0,0.0,1,1.5,0,0.0,1,0.03
325,13,a,A,Spatial,11,Pool,17.6,5.872,0.333,0.118,0,0.0,3,2.4,3,12.4,1,2.8,1,4.93
326,13,a,A,Spatial,12,Pool,5.3,1.450,0.275,0.600,0,0.0,0,0.0,1,2.9,1,2.3,1,0.95
327,14,a,A,Spatial,11,Pool,7.6,2.398,0.314,0.528,1,2.2,1,0.7,1,4.8,0,0.0,1,1.13
328,14,a,A,Spatial,12,Pool,2.8,0.884,0.316,0.856,0,0.0,0,0.0,1,1.0,1,1.8,1,0.22
329,15,a,A,Spatial,11,Pool,1.2,0.345,0.287,0.996,0,0.0,0,0.0,1,1.2,0,0.0,1,0.04
330,15,a,A,Spatial,12,Pool,4.6,1.897,0.410,0.497,1,1.0,1,2.5,1,1.1,0,0.0,1,1.81
331,16,b,B,Spatial,11,Pool,3.9,1.280,0.326,0.895,1,0.6,1,2.4,1,0.9,0,0.0,1,0.31
332,16,b,B,Spatial,12,Pool,1.4,0.465,0.344,0.973,0,0.0,0,0.0,1,1.3,0,0.0,1,0.04
333,17,b,B,Spatial,11,Pool,2.5,0.931,0.367,0.880,0,0.0,1,1.7,1,0.8,0,0.0,1,0.25
334,17,b,B,Spatial,12,Pool,5.8,2.284,0.395,0.263,0,0.0,0,0.0,1,1.3,1,4.4,1,2.61
335,18,b,B,Spatial,11,Pool,2.8,0.849,0.300,0.884,0,0.0,0,0.0,1,1.3,1,1.5,1,0.08
336,18,b,B,Spatial,12,Pool,4.8,1.713,0.354,0.719,1,2.4,0,0.0,1,2.4,0,0.0,1,0.53
337,19,b,B,Spatial,11,Pool,14.0,4.529,0.324,0.146,0,0.0,0,0.0,3,5.3,3,8.6,1,4.66
338,19,b,B,Spatial,12,Pool,3.6,1.304,0.357,0.927,1,2.0,0,0.0,1,0.8,1,0.8,1,0.41
339,20,b,B,Spatial,11,Pool,7.0,2.329,0.333,0.422,0,0.0,1,3.1,1,3.9,0,0.0,1,2.10
340,20,b,B,Spatial,12,Pool,4.0,0.904,0.228,0.276,0,0.0,0,0.0,1,3.9,0,0.0,1,0.82
341,21,b,B,Spatial,11,Pool,30.8,10.933,0.355,0.093,2,2.8,1,2.0,5,13.4,6,12.6,1,12.53
342,21,b,B,Spatial,12,Pool,3.5,1.324,0.380,0.849,1,1.6,0,0.0,1,1.4,1,0.5,1,0.25
343,22,b,B,Spatial,11,Pool,23.3,6.513,0.280,0.107,0,0.0,3,7.1,3,16.1,0,0.0,1,6.35
344,22,b,B,Spatial,12,Pool,4.6,1.235,0.271,0.781,1,2.1,0,0.0,1,1.3,1,1.1,1,0.31
345,23,b,B,Spatial,11,Pool,10.8,3.732,0.345,0.187,0,0.0,0,0.0,2,3.8,2,7.0,1,4.32
346,23,b,B,Spatial,12,Pool,5.9,1.973,0.334,0.532,1,1.3,2,3.2,2,1.3,0,0.0,1,1.33
347,24,b,B,Spatial,11,Pool,2.6,0.829,0.315,0.942,0,0.0,1,1.5,1,1.1,0,0.0,1,0.14
348,24,b,B,Spatial,12,Pool,2.4,0.783,0.327,0.961,1,1.2,1,0.0,1,1.2,0,0.0,1,0.06
349,25,b,B,Spatial,11,Pool,6.8,2.445,0.362,0.175,0,0.0,0,0.0,2,3.3,1,3.5,1,2.58
350,25,b,B,Spatial,12,Pool,3.6,1.379,0.383,0.758,0,0.0,1,2.5,1,1.1,0,0.0,1,0.87
351,26,b,B,Spatial,11,Pool,11.9,3.908,0.328,0.222,2,2.5,2,2.1,2,4.7,2,2.6,1,3.82
352,26,b,B,Spatial,12,Pool,7.1,2.144,0.304,0.409,1,1.0,2,2.9,2,3.2,0,0.0,1,1.72
353,27,b,B,Spatial,11,Pool,2.5,0.772,0.311,0.898,0,0.0,1,1.5,1,0.9,0,0.0,1,0.23
354,27,b,B,Spatial,12,Pool,4.5,1.324,0.292,0.335,0,0.0,0,0.0,1,1.5,1,3.0,1,1.52
355,28,b,B,Spatial,11,Pool,3.9,1.329,0.345,0.936,1,2.0,0,0.0,1,0.8,1,1.1,1,0.43
356,28,b,B,Spatial,12,Pool,4.4,1.689,0.381,0.603,0,0.0,1,1.6,1,2.8,0,0.0,1,0.80
357,29,b,B,Spatial,11,Pool,3.2,1.247,0.393,0.556,0,0.0,1,1.9,1,1.2,0,0.0,1,0.64
358,29,b,B,Spatial,12,Pool,4.4,1.584,0.364,0.739,1,1.9,0,0.0,1,1.1,1,1.3,1,0.53
359,30,b,B,Spatial,11,Pool,2.9,0.995,0.348,0.594,0,0.0,0,0.0,1,1.6,1,1.2,1,0.59
360,30,b,B,Spatial,12,Pool,8.8,3.246,0.368,0.214,0,0.0,1,1.0,1,7.8,0,0.0,1,1.99
