Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : time (s),Platform : distance (m),Platform : CIPL (m·s),Platform entry : number
128,12,A,A,Spatial,6,Pool,8/28/2023,25.8,8.067,0.313,0.149,3,6.9,2.093,3,6.9,2.426,2,8.0,2.167,1,3.9,1.381,1,0.0,0.000,14.74,1
129,13,A,A,Spatial,5,Pool,8/28/2023,2.0,0.610,0.305,0.914,1,1.1,0.332,0,0.0,0.000,0,0.0,0.000,1,0.8,0.279,1,0.0,0.000,0.02,1
130,13,A,A,Spatial,6,Pool,8/28/2023,12.6,4.752,0.376,0.247,1,1.6,0.381,2,5.9,2.621,2,5.1,1.750,0,0.0,0.000,1,0.0,0.000,8.06,1
131,14,A,A,Spatial,5,Pool,8/28/2023,18.2,4.511,0.248,0.177,2,8.7,2.315,0,0.0,0.000,0,0.0,0.000,2,9.5,2.195,1,0.0,0.000,7.05,1
132,14,A,A,Spatial,6,Pool,8/28/2023,9.3,3.294,0.355,0.177,1,2.8,0.917,1,1.4,0.458,1,0.9,0.426,1,4.1,1.493,1,0.0,0.000,4.94,1
133,15,A,A,Spatial,5,Pool,8/28/2023,35.7,11.658,0.327,0.060,4,14.6,4.215,3,9.3,2.690,2,6.0,2.369,2,5.7,2.384,1,0.0,0.000,22.00,1
134,15,A,A,Spatial,6,Pool,8/28/2023,60.0,16.782,0.280,0.027,3,7.1,2.500,6,23.6,6.000,5,24.8,6.799,2,4.5,1.484,0,0.0,0.000,48.92,0
135,16,A,A,Spatial,5,Pool,8/28/2023,60.0,18.536,0.309,0.018,4,12.0,4.036,6,14.6,4.515,6,18.5,4.898,4,14.9,5.087,0,0.0,0.000,43.30,0
136,16,A,A,Spatial,6,Pool,8/28/2023,60.0,13.202,0.220,0.087,2,6.1,1.755,2,10.9,2.101,4,24.1,4.715,4,18.9,4.632,0,0.0,0.000,50.07,0
137,17,A,A,Spatial,5,Pool,8/28/2023,49.3,12.710,0.258,0.057,5,14.4,2.969,1,4.0,1.262,1,5.7,1.374,5,25.2,7.105,1,0.0,0.000,31.34,1
138,17,A,A,Spatial,6,Pool,8/28/2023,14.5,3.957,0.273,0.303,2,4.4,0.827,0,0.0,0.000,1,1.7,0.651,3,8.4,2.479,1,0.0,0.000,6.45,1
139,18,A,A,Spatial,5,Pool,8/28/2023,60.0,17.433,0.291,0.064,3,6.8,2.264,3,6.3,2.167,5,21.9,5.956,5,25.1,7.047,0,0.0,0.000,48.82,0
140,18,A,A,Spatial,6,Pool,8/28/2023,60.0,15.316,0.255,0.087,5,20.7,6.120,2,5.2,1.536,3,8.8,2.067,6,25.3,5.594,0,0.0,0.000,32.33,0
141,19,A,A,Spatial,5,Pool,8/28/2023,60.0,12.652,0.211,0.115,2,12.7,2.953,3,29.2,4.187,3,14.0,3.700,2,4.2,1.811,0,0.0,0.000,44.36,0
142,19,A,A,Spatial,6,Pool,8/28/2023,3.9,1.151,0.299,0.981,1,1.2,0.279,0,0.0,0.000,0,0.0,0.000,1,2.6,0.872,1,0.0,0.000,0.07,1
143,20,A,A,Spatial,5,Pool,8/28/2023,46.0,10.330,0.225,0.091,2,3.7,0.524,1,6.1,1.557,4,15.3,3.589,4,20.8,4.661,1,0.0,0.000,37.47,1
144,20,A,A,Spatial,6,Pool,8/28/2023,27.0,7.012,0.259,0.137,2,6.9,1.639,3,12.0,3.379,1,8.1,1.993,0,0.0,0.000,1,0.0,0.000,17.64,1
145,21,A,A,Spatial,5,Pool,8/28/2023,60.0,19.316,0.322,0.015,4,11.6,4.181,3,7.5,3.156,4,16.5,4.735,5,24.4,7.245,0,0.0,0.000,48.13,0
146,21,A,A,Spatial,6,Pool,8/28/2023,12.9,4.024,0.311,0.298,2,4.8,1.635,1,3.5,1.171,1,2.5,0.346,1,2.1,0.872,1,0.0,0.000,4.64,1
147,22,A,A,Spatial,5,Pool,8/28/2023,1.7,0.597,0.342,0.997,1,0.7,0.238,0,0.0,0.000,0,0.0,0.000,1,1.1,0.359,1,0.0,0.000,0.05,1
148,22,A,A,Spatial,6,Pool,8/28/2023,26.6,8.006,0.301,0.143,2,10.8,2.656,2,5.7,2.123,1,4.5,1.154,2,5.6,2.073,1,0.0,0.000,13.80,1
149,23,A,A,Spatial,5,Pool,8/28/2023,12.7,3.210,0.253,0.276,1,2.4,0.402,1,3.1,0.966,1,2.7,0.971,1,4.5,0.871,1,0.0,0.000,7.85,1
150,23,A,A,Spatial,6,Pool,8/28/2023,8.5,2.599,0.306,0.361,1,2.0,0.563,1,3.3,0.851,1,0.2,0.074,1,3.0,1.111,1,0.0,0.000,3.33,1
151,24,A,A,Spatial,5,Pool,8/28/2023,60.0,15.206,0.253,0.095,2,12.9,3.083,3,17.3,3.965,4,15.4,4.171,3,14.4,3.986,0,0.0,0.000,47.06,0
152,24,A,A,Spatial,6,Pool,8/28/2023,60.0,13.885,0.231,0.081,4,27.1,5.319,3,8.7,2.820,2,9.2,2.332,3,15.1,3.414,0,0.0,0.000,32.73,0
153,25,A,A,Spatial,5,Pool,8/28/2023,14.6,2.941,0.201,0.214,2,11.8,2.226,0,0.0,0.000,0,0.0,0.000,1,2.8,0.715,1,0.0,0.000,5.29,1
154,25,A,A,Spatial,6,Pool,8/28/2023,60.0,20.845,0.347,0.080,6,17.1,5.656,7,18.4,6.372,5,15.2,5.191,3,9.3,3.626,0,0.0,0.000,37.58,0
155,26,A,A,Spatial,5,Pool,8/28/2023,60.0,12.822,0.214,0.110,2,9.2,2.284,6,12.5,2.876,8,29.9,5.944,4,8.4,1.718,0,0.0,0.000,49.65,0
156,26,A,A,Spatial,6,Pool,8/28/2023,60.0,13.567,0.226,0.069,4,12.5,3.216,4,26.0,4.997,3,13.3,3.259,3,8.2,2.096,0,0.0,0.000,40.26,0
157,1,A,A,Spatial,7,Pool,8/29/2023,8.2,2.318,0.283,0.473,1,1.1,0.345,0,0.0,0.000,1,2.0,0.283,2,5.1,1.689,1,0.0,0.000,5.23,1
158,1,A,A,Spatial,8,Pool,8/29/2023,27.2,8.947,0.329,0.102,3,7.6,2.546,3,12.3,3.628,2,3.7,1.357,1,3.6,1.416,1,0.0,0.000,16.83,1
159,2,A,A,Spatial,7,Pool,8/29/2023,60.0,16.781,0.280,0.071,6,20.6,5.456,2,7.6,2.303,3,8.0,2.776,6,23.8,6.246,0,0.0,0.000,38.66,0
160,2,A,A,Spatial,8,Pool,8/29/2023,60.0,16.724,0.279,0.052,6,22.0,4.945,7,23.1,7.292,3,7.8,2.224,2,7.1,2.263,0,0.0,0.000,32.84,0
161,3,A,A,Spatial,7,Pool,8/29/2023,60.0,17.093,0.285,0.058,6,20.3,5.705,5,20.4,5.279,3,10.3,3.034,4,9.0,3.075,0,0.0,0.000,33.81,0
162,3,A,A,Spatial,8,Pool,8/29/2023,15.0,5.112,0.340,0.092,2,4.7,1.556,1,2.7,1.010,1,3.9,1.204,2,3.8,1.343,1,0.0,0.000,9.43,1
163,4,A,A,Spatial,7,Pool,8/29/2023,13.2,2.396,0.181,0.398,1,1.1,0.307,0,0.0,0.000,2,6.3,1.171,2,5.8,0.918,1,0.0,0.000,9.79,1
164,4,A,A,Spatial,8,Pool,8/29/2023,33.6,11.388,0.339,0.066,3,8.9,3.058,3,10.0,3.175,2,5.7,2.363,2,8.9,2.791,1,0.0,0.000,23.98,1
165,5,A,A,Spatial,7,Pool,8/29/2023,60.0,20.964,0.349,0.040,5,14.4,5.014,6,18.4,6.594,6,12.9,4.720,4,14.3,4.636,0,0.0,0.000,42.56,0
166,5,A,A,Spatial,8,Pool,8/29/2023,60.0,18.645,0.311,0.031,5,15.6,4.106,6,27.9,8.205,3,9.6,3.784,3,6.9,2.550,0,0.0,0.000,39.67,0
167,6,A,A,Spatial,7,Pool,8/29/2023,18.1,4.178,0.231,0.193,1,6.3,1.645,1,7.7,1.268,1,1.2,0.246,1,2.9,1.019,1,0.0,0.000,8.42,1
168,6,A,A,Spatial,8,Pool,8/29/2023,16.9,5.599,0.331,0.209,2,5.9,1.980,1,0.9,0.408,2,3.2,0.799,2,6.9,2.411,1,0.0,0.000,8.74,1
169,7,A,A,Spatial,7,Pool,8/29/2023,11.6,3.205,0.276,0.119,2,4.5,1.167,1,7.1,2.039,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,6.01,1
170,7,A,A,Spatial,8,Pool,8/29/2023,19.4,6.617,0.342,0.092,3,8.7,2.550,2,4.8,1.715,1,1.9,0.818,2,3.9,1.533,1,0.0,0.000,8.90,1
171,8,A,A,Spatial,7,Pool,8/29/2023,27.3,7.643,0.280,0.089,2,10.3,2.178,1,8.5,2.720,1,3.1,1.278,2,5.4,1.466,1,0.0,0.000,16.59,1
172,8,A,A,Spatial,8,Pool,8/29/2023,60.0,16.712,0.279,0.075,4,28.0,7.545,3,6.2,1.763,2,5.2,1.853,4,20.6,5.550,0,0.0,0.000,33.81,0
173,9,A,A,Spatial,7,Pool,8/29/2023,60.0,21.036,0.351,0.056,6,17.9,6.122,7,23.5,8.096,4,8.2,3.241,3,10.4,3.577,0,0.0,0.000,34.78,0
174,9,A,A,Spatial,8,Pool,8/29/2023,40.1,13.072,0.326,0.069,3,9.7,2.855,2,12.9,4.131,2,8.8,2.696,3,8.7,3.390,1,0.0,0.000,24.50,1
175,10,A,A,Spatial,7,Pool,8/29/2023,60.0,17.584,0.293,0.010,3,7.7,3.082,4,10.8,3.673,5,30.5,7.152,3,10.9,3.677,0,0.0,0.000,52.71,0
176,10,A,A,Spatial,8,Pool,8/29/2023,60.0,16.376,0.273,0.066,6,18.9,5.397,5,20.6,4.950,3,12.2,3.458,4,8.3,2.571,0,0.0,0.000,36.68,0
177,11,A,A,Spatial,7,Pool,8/29/2023,24.2,9.181,0.380,0.061,3,8.2,2.932,2,7.5,2.757,1,2.9,1.291,2,5.6,2.202,1,0.0,0.000,13.01,1
178,11,A,A,Spatial,8,Pool,8/29/2023,10.0,4.032,0.402,0.272,2,2.5,0.836,0,0.0,0.000,2,2.8,1.041,3,4.7,2.156,1,0.0,0.000,4.82,1
179,12,A,A,Spatial,7,Pool,8/29/2023,10.6,2.661,0.252,0.182,2,6.6,1.579,0,0.0,0.000,0,0.0,0.000,1,3.9,1.082,1,0.0,0.000,4.04,1
180,12,A,A,Spatial,8,Pool,8/29/2023,11.9,3.612,0.303,0.155,2,6.2,1.658,1,0.8,0.282,1,0.9,0.322,1,4.0,1.349,1,0.0,0.000,4.03,1
181,13,A,A,Spatial,7,Pool,8/29/2023,60.0,23.218,0.387,0.065,5,17.3,6.779,4,15.9,5.827,3,7.6,3.733,5,19.2,6.880,0,0.0,0.000,42.11,0
182,13,A,A,Spatial,8,Pool,8/29/2023,15.3,6.773,0.442,0.130,2,3.5,1.441,2,3.5,1.725,2,5.5,2.484,2,2.8,1.124,1,0.0,0.000,10.11,1
183,14,A,A,Spatial,7,Pool,8/29/2023,9.6,2.937,0.306,0.233,1,2.5,0.720,1,1.6,0.698,1,3.1,0.748,1,2.4,0.771,1,0.0,0.000,4.10,1
184,14,A,A,Spatial,8,Pool,8/29/2023,13.1,4.098,0.312,0.082,3,7.7,2.407,1,3.2,0.944,0,0.0,0.000,1,2.3,0.747,1,0.0,0.000,4.06,1
185,15,A,A,Spatial,7,Pool,8/29/2023,18.4,7.077,0.385,0.068,3,8.9,2.859,1,2.7,1.248,1,3.1,1.313,2,3.7,1.656,1,0.0,0.000,11.51,1
186,15,A,A,Spatial,8,Pool,8/29/2023,42.4,14.924,0.352,0.055,4,16.4,5.382,2,6.8,2.575,3,7.1,2.670,4,12.1,4.298,1,0.0,0.000,26.86,1
187,16,A,A,Spatial,7,Pool,8/29/2023,19.8,5.310,0.268,0.073,2,3.7,0.642,2,8.1,2.395,1,8.0,2.272,0,0.0,0.000,1,0.0,0.000,15.35,1
188,16,A,A,Spatial,8,Pool,8/29/2023,38.7,11.931,0.308,0.085,3,8.4,2.686,2,6.4,2.267,3,10.9,3.138,3,13.1,3.840,1,0.0,0.000,28.27,1
189,17,A,A,Spatial,7,Pool,8/29/2023,60.0,20.112,0.335,0.064,6,19.6,6.153,5,16.2,5.421,4,12.3,4.261,4,12.0,4.276,0,0.0,0.000,37.79,0
190,17,A,A,Spatial,8,Pool,8/29/2023,41.1,13.248,0.323,0.097,3,12.3,3.751,5,17.3,5.827,4,7.7,2.330,1,3.7,1.340,1,0.0,0.000,23.66,1
191,18,A,A,Spatial,7,Pool,8/29/2023,12.6,2.782,0.222,0.372,1,0.8,0.255,1,3.2,1.139,1,8.5,1.388,0,0.0,0.000,1,0.0,0.000,9.47,1
192,18,A,A,Spatial,8,Pool,8/29/2023,36.8,13.039,0.354,0.069,5,12.4,4.560,4,11.2,3.719,2,3.0,1.256,4,10.2,3.503,1,0.0,0.000,20.15,1
193,19,A,A,Spatial,7,Pool,8/29/2023,60.0,18.115,0.302,0.021,5,21.4,5.036,4,18.1,5.159,3,8.8,3.800,3,11.7,4.121,0,0.0,0.000,41.89,0
194,19,A,A,Spatial,8,Pool,8/29/2023,54.1,13.904,0.257,0.037,5,23.8,5.213,3,8.8,2.473,2,10.3,2.600,3,11.2,3.619,1,0.0,0.000,35.09,1
195,20,A,A,Spatial,7,Pool,8/29/2023,15.9,3.760,0.237,0.240,1,1.9,0.396,1,3.8,0.609,1,6.4,1.540,1,3.9,1.215,1,0.0,0.000,10.79,1
196,20,A,A,Spatial,8,Pool,8/29/2023,60.0,17.486,0.291,0.047,4,13.2,4.074,4,10.2,3.049,5,16.5,4.740,5,20.1,5.623,0,0.0,0.000,42.92,0
197,21,A,A,Spatial,7,Pool,8/29/2023,9.0,2.436,0.270,0.280,2,4.4,1.394,2,4.6,1.042,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,2.66,1
198,21,A,A,Spatial,8,Pool,8/29/2023,60.0,20.282,0.338,0.046,4,15.5,5.779,4,17.1,5.127,5,16.9,5.251,5,10.6,4.125,0,0.0,0.000,42.80,0
199,22,A,A,Spatial,7,Pool,8/29/2023,60.0,15.953,0.266,0.086,3,12.4,3.973,3,13.6,3.622,3,21.2,5.099,3,12.8,3.258,0,0.0,0.000,46.06,0
200,22,A,A,Spatial,8,Pool,8/29/2023,49.7,12.573,0.253,0.046,3,16.0,3.546,2,9.6,2.519,2,3.9,1.245,3,20.2,5.263,1,0.0,0.000,29.15,1
201,23,A,A,Spatial,7,Pool,8/29/2023,60.0,19.719,0.329,0.011,4,12.4,4.577,5,17.6,5.444,3,15.1,4.201,3,14.9,5.497,0,0.0,0.000,45.30,0
202,23,A,A,Spatial,8,Pool,8/29/2023,18.5,6.800,0.368,0.184,2,4.7,1.591,2,4.1,1.540,2,5.5,2.258,1,4.1,1.410,1,0.0,0.000,11.32,1
203,24,A,A,Spatial,7,Pool,8/29/2023,57.3,16.859,0.294,0.036,5,15.5,4.796,1,2.9,1.163,2,8.9,2.509,6,30.0,8.391,1,0.0,0.000,38.86,1
204,24,A,A,Spatial,8,Pool,8/29/2023,7.1,2.378,0.337,0.236,2,2.1,0.435,1,2.2,0.923,1,1.3,0.529,1,1.3,0.490,1,0.0,0.000,3.08,1
205,25,A,A,Spatial,7,Pool,8/29/2023,18.9,5.989,0.318,0.087,3,7.5,2.262,3,7.5,2.349,1,0.9,0.330,1,2.9,1.048,1,0.0,0.000,9.32,1
206,25,A,A,Spatial,8,Pool,8/29/2023,7.5,2.896,0.385,0.317,1,0.9,0.280,1,3.5,1.394,2,2.6,0.992,1,0.5,0.231,1,0.0,0.000,3.55,1
207,26,A,A,Spatial,7,Pool,8/29/2023,60.0,18.421,0.307,0.019,3,11.6,3.922,3,11.0,3.226,5,19.7,5.694,4,17.7,5.579,0,0.0,0.000,49.47,0
208,26,A,A,Spatial,8,Pool,8/29/2023,7.2,2.419,0.336,0.522,1,2.3,0.634,0,0.0,0.000,1,1.8,0.614,1,3.1,1.170,1,0.0,0.000,2.09,1
209,1,A,A,Spatial,9,Pool,8/29/2023,21.5,6.697,0.311,0.169,2,4.9,1.655,2,4.1,1.415,2,2.8,0.779,1,9.6,2.847,1,0.0,0.000,12.11,1
210,1,A,A,Spatial,10,Pool,8/29/2023,9.4,3.411,0.362,0.174,2,8.1,2.906,0,0.0,0.000,0,0.0,0.000,1,1.3,0.505,1,0.0,0.000,2.38,1
211,2,A,A,Spatial,9,Pool,8/29/2023,35.9,9.550,0.266,0.066,4,12.1,2.501,3,10.0,2.839,2,3.1,0.747,3,10.6,3.463,1,0.0,0.000,21.22,1
212,2,A,A,Spatial,10,Pool,8/29/2023,31.3,9.556,0.305,0.125,3,10.8,3.036,3,11.4,3.149,2,4.3,1.649,2,4.8,1.722,1,0.0,0.000,17.69,1
213,3,A,A,Spatial,9,Pool,8/29/2023,45.0,15.823,0.352,0.038,6,16.0,5.489,4,8.6,2.642,3,6.3,2.189,5,14.1,5.503,1,0.0,0.000,23.84,1
214,3,A,A,Spatial,10,Pool,8/29/2023,34.9,10.481,0.300,0.112,4,20.8,5.985,3,6.1,1.771,2,2.8,0.968,3,5.2,1.756,1,0.0,0.000,13.68,1
215,4,A,A,Spatial,9,Pool,8/29/2023,49.0,15.917,0.325,0.057,5,22.1,6.264,2,4.4,1.751,3,5.7,2.397,6,16.8,5.505,1,0.0,0.000,26.55,1
216,4,A,A,Spatial,10,Pool,8/29/2023,5.5,1.375,0.248,0.734,1,2.1,0.577,1,3.4,0.798,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.21,1
217,5,A,A,Spatial,9,Pool,8/29/2023,52.9,21.382,0.404,0.056,6,13.6,5.326,6,17.2,6.118,5,12.2,5.897,5,9.8,4.041,1,0.0,0.000,35.80,1
218,5,A,A,Spatial,10,Pool,8/29/2023,31.5,10.018,0.318,0.062,4,16.6,5.316,4,11.0,3.342,1,3.6,1.247,1,0.3,0.112,1,0.0,0.000,13.50,1
219,6,A,A,Spatial,9,Pool,8/29/2023,15.5,3.391,0.219,0.154,2,12.0,2.576,1,3.5,0.815,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,4.51,1
220,6,A,A,Spatial,10,Pool,8/29/2023,11.0,3.550,0.324,0.250,2,6.8,2.181,1,1.9,0.608,0,0.0,0.000,1,2.3,0.760,1,0.0,0.000,2.93,1
221,7,A,A,Spatial,9,Pool,8/29/2023,6.2,2.154,0.350,0.368,1,0.8,0.255,1,2.7,0.829,1,1.7,0.713,1,0.9,0.357,1,0.0,0.000,3.19,1
222,7,A,A,Spatial,10,Pool,8/29/2023,22.7,8.521,0.376,0.072,3,17.2,6.407,1,0.2,0.067,1,0.7,0.239,3,4.6,1.808,1,0.0,0.000,6.08,1
223,8,A,A,Spatial,9,Pool,8/29/2023,18.2,5.401,0.297,0.185,3,7.6,2.406,1,2.7,0.896,0,0.0,0.000,2,7.9,2.099,1,0.0,0.000,8.42,1
224,8,A,A,Spatial,10,Pool,8/29/2023,5.5,1.856,0.335,0.639,1,2.9,0.826,0,0.0,0.000,0,0.0,0.000,1,2.6,1.031,1,0.0,0.000,0.70,1
225,9,A,A,Spatial,9,Pool,8/29/2023,60.0,20.524,0.342,0.036,4,14.4,4.902,5,13.1,4.898,6,19.3,5.933,5,13.2,4.790,0,0.0,0.000,42.79,0
226,9,A,A,Spatial,10,Pool,8/29/2023,12.7,3.554,0.280,0.239,1,8.1,2.302,1,4.5,1.252,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,3.11,1
227,10,A,A,Spatial,9,Pool,8/29/2023,1.5,0.319,0.220,0.964,1,1.4,0.319,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.03,1
228,10,A,A,Spatial,10,Pool,8/29/2023,19.8,6.706,0.339,0.125,3,8.4,2.597,2,3.6,1.320,1,3.2,1.078,2,4.6,1.711,1,0.0,0.000,9.01,1
229,11,A,A,Spatial,9,Pool,8/29/2023,60.0,21.562,0.359,0.065,8,27.5,9.849,4,11.2,3.393,4,7.4,2.539,7,14.0,5.782,0,0.0,0.000,30.52,0
230,11,A,A,Spatial,10,Pool,8/29/2023,6.1,2.122,0.347,0.217,2,4.5,1.610,1,1.6,0.512,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.42,1
231,12,A,A,Spatial,9,Pool,8/29/2023,21.5,5.540,0.258,0.099,3,9.6,2.628,3,11.9,2.912,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,7.93,1
232,12,A,A,Spatial,10,Pool,8/29/2023,3.0,0.775,0.255,0.853,1,1.5,0.362,1,1.6,0.413,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.12,1
233,13,A,A,Spatial,9,Pool,8/29/2023,5.8,2.295,0.395,0.508,1,1.3,0.450,1,2.5,1.140,1,1.9,0.704,0,0.0,0.000,1,0.0,0.000,2.37,1
234,13,A,A,Spatial,10,Pool,8/29/2023,60.0,22.674,0.378,0.066,6,24.8,9.444,5,16.5,5.560,3,7.5,3.109,5,11.2,4.561,0,0.0,0.000,36.02,0
235,14,A,A,Spatial,9,Pool,8/29/2023,1.9,0.457,0.237,0.740,1,1.9,0.457,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.17,1
236,14,A,A,Spatial,10,Pool,8/29/2023,5.7,1.984,0.347,0.514,1,4.0,1.317,1,0.1,0.065,1,1.6,0.602,0,0.0,0.000,1,0.0,0.000,0.72,1
237,15,A,A,Spatial,9,Pool,8/29/2023,15.3,5.575,0.364,0.159,2,9.7,3.346,1,0.7,0.310,1,0.4,0.190,2,4.5,1.729,1,0.0,0.000,4.86,1
238,15,A,A,Spatial,10,Pool,8/29/2023,7.6,2.938,0.388,0.342,2,4.1,1.537,1,2.2,0.979,0,0.0,0.000,1,1.2,0.422,1,0.0,0.000,2.04,1
239,16,A,A,Spatial,9,Pool,8/29/2023,32.9,11.425,0.348,0.079,4,7.6,2.506,4,9.9,3.411,3,8.2,2.783,3,7.1,2.725,1,0.0,0.000,20.09,1
240,16,A,A,Spatial,10,Pool,8/29/2023,19.6,5.988,0.305,0.144,4,4.4,1.316,4,8.3,2.717,1,5.3,1.566,1,1.6,0.390,1,0.0,0.000,10.78,1
241,17,A,A,Spatial,9,Pool,8/29/2023,44.1,15.434,0.350,0.031,5,12.8,4.562,3,8.7,3.105,3,7.5,2.744,5,15.1,5.023,1,0.0,0.000,27.41,1
242,17,A,A,Spatial,10,Pool,8/29/2023,3.2,0.976,0.305,0.937,1,0.9,0.257,1,2.3,0.719,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.20,1
243,18,A,A,Spatial,9,Pool,8/29/2023,5.4,1.891,0.353,0.672,1,0.9,0.307,1,1.6,0.692,1,2.8,0.892,0,0.0,0.000,1,0.0,0.000,2.21,1
244,18,A,A,Spatial,10,Pool,8/29/2023,33.6,13.175,0.392,0.053,4,10.7,4.020,4,8.1,3.208,3,8.6,3.369,3,6.2,2.579,1,0.0,0.000,20.01,1
245,19,A,A,Spatial,9,Pool,8/29/2023,60.0,16.741,0.279,0.041,3,7.8,1.607,4,17.2,5.164,4,13.9,5.077,3,21.1,4.893,0,0.0,0.000,50.23,0
246,19,A,A,Spatial,10,Pool,8/29/2023,52.1,12.521,0.240,0.100,4,17.9,3.855,2,6.1,2.467,2,7.5,2.310,3,20.7,3.888,1,0.0,0.000,33.05,1
247,20,A,A,Spatial,9,Pool,8/29/2023,60.0,16.850,0.281,0.029,4,11.3,3.362,5,20.5,5.615,5,16.5,4.207,4,11.6,3.666,0,0.0,0.000,40.70,0
248,20,A,A,Spatial,10,Pool,8/29/2023,16.9,4.244,0.251,0.131,3,15.1,3.706,1,1.5,0.405,0,0.0,0.000,1,0.4,0.133,1,0.0,0.000,3.76,1
249,21,A,A,Spatial,9,Pool,8/29/2023,60.0,20.799,0.347,0.055,6,20.0,6.213,6,16.2,5.727,3,10.4,3.751,4,13.4,5.108,0,0.0,0.000,37.66,0
250,21,A,A,Spatial,10,Pool,8/29/2023,60.0,17.239,0.287,0.083,6,20.5,5.581,6,20.1,5.825,3,10.8,3.183,4,8.6,2.649,0,0.0,0.000,36.32,0
251,22,A,A,Spatial,9,Pool,8/29/2023,60.0,17.244,0.287,0.085,2,4.9,1.821,3,9.7,2.604,6,25.9,7.307,5,19.4,5.512,0,0.0,0.000,51.33,0
252,22,A,A,Spatial,10,Pool,8/29/2023,60.0,16.940,0.282,0.055,4,13.1,3.734,3,13.6,3.382,4,10.5,3.344,6,22.8,6.480,0,0.0,0.000,38.83,0
253,23,A,A,Spatial,9,Pool,8/29/2023,21.4,7.542,0.352,0.073,2,4.7,1.676,2,3.9,1.417,2,5.9,2.211,2,7.0,2.238,1,0.0,0.000,14.47,1
254,23,A,A,Spatial,10,Pool,8/29/2023,32.3,9.785,0.303,0.086,3,7.7,2.649,2,3.9,1.313,3,6.2,1.873,3,14.5,3.949,1,0.0,0.000,19.49,1
255,24,A,A,Spatial,9,Pool,8/29/2023,6.0,1.662,0.276,0.504,1,3.9,0.973,1,2.2,0.689,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.80,1
256,24,A,A,Spatial,10,Pool,8/29/2023,25.0,7.349,0.294,0.141,2,8.0,2.093,1,4.8,1.299,1,2.3,0.982,2,9.9,2.974,1,0.0,0.000,13.18,1
257,25,A,A,Spatial,9,Pool,8/29/2023,11.8,4.017,0.340,0.230,2,1.6,0.507,2,6.9,2.595,1,3.3,0.915,0,0.0,0.000,1,0.0,0.000,7.22,1
