Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : time (s),Platform : distance (m),Platform : CIPL (m·s),Platform entry : number
519,26,A,A,Spatial,19,Pool,8/31/2023,60.0,18.586,0.310,0.021,3,13.5,4.050,4,13.1,4.580,5,19.5,5.423,3,14.0,4.533,0,0.0,0.000,45.16,0
520,26,A,A,Spatial,20,Pool,8/31/2023,10.3,3.087,0.299,0.234,1,1.1,0.261,0,0.0,0.000,1,3.6,0.975,2,5.7,1.850,1,0.0,0.000,7.05,1
521,1,A,A,Spatial,21,Pool,8/31/2023,8.9,2.481,0.277,0.508,1,2.1,0.542,0,0.0,0.000,1,6.3,1.749,1,0.5,0.190,1,0.0,0.000,3.14,1
522,1,A,A,Spatial,22,Pool,8/31/2023,21.2,4.940,0.233,0.208,2,15.2,3.300,2,6.0,1.640,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,4.55,1
523,2,A,A,Spatial,21,Pool,8/31/2023,4.1,1.401,0.345,0.663,1,1.2,0.329,0,0.0,0.000,0,0.0,0.000,1,2.8,1.072,1,0.0,0.000,0.81,1
524,2,A,A,Spatial,22,Pool,8/31/2023,16.7,5.849,0.349,0.203,3,8.8,2.941,3,7.9,2.908,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,5.12,1
525,3,A,A,Spatial,21,Pool,8/31/2023,34.3,10.828,0.316,0.048,4,10.2,2.897,2,3.7,1.204,3,5.1,1.738,5,15.3,4.989,1,0.0,0.000,19.71,1
526,3,A,A,Spatial,22,Pool,8/31/2023,11.9,3.069,0.259,0.234,2,6.7,1.724,1,3.7,0.924,0,0.0,0.000,1,1.5,0.421,1,0.0,0.000,3.09,1
527,4,A,A,Spatial,21,Pool,8/31/2023,9.8,3.160,0.324,0.387,2,3.5,1.212,1,0.1,0.055,1,3.7,1.209,1,2.4,0.684,1,0.0,0.000,3.69,1
528,4,A,A,Spatial,22,Pool,8/31/2023,2.2,0.559,0.259,0.725,1,2.1,0.559,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.19,1
529,5,A,A,Spatial,21,Pool,8/31/2023,8.1,2.750,0.340,0.286,2,6.4,2.166,1,1.1,0.394,0,0.0,0.000,1,0.7,0.190,1,0.0,0.000,1.23,1
530,5,A,A,Spatial,22,Pool,8/31/2023,21.6,7.830,0.363,0.125,3,13.6,4.824,3,3.7,1.353,2,1.6,0.598,2,2.7,1.055,1,0.0,0.000,5.70,1
531,6,A,A,Spatial,21,Pool,8/31/2023,4.4,1.444,0.329,0.729,1,1.5,0.402,2,2.2,0.797,1,0.6,0.245,0,0.0,0.000,1,0.0,0.000,0.91,1
532,6,A,A,Spatial,22,Pool,8/31/2023,8.5,2.799,0.328,0.254,1,7.7,2.551,0,0.0,0.000,0,0.0,0.000,1,0.8,0.248,1,0.0,0.000,1.83,1
533,7,A,A,Spatial,21,Pool,8/31/2023,17.6,6.706,0.380,0.153,4,8.4,3.115,3,3.9,1.486,2,2.6,0.875,2,2.7,1.230,1,0.0,0.000,5.67,1
534,7,A,A,Spatial,22,Pool,8/31/2023,9.4,3.334,0.356,0.325,2,4.3,1.406,2,5.1,1.928,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,2.43,1
535,8,A,A,Spatial,21,Pool,8/31/2023,5.3,1.793,0.336,0.566,1,1.2,0.399,0,0.0,0.000,1,3.5,1.111,1,0.7,0.283,1,0.0,0.000,2.43,1
536,8,A,A,Spatial,22,Pool,8/31/2023,3.6,1.157,0.320,0.824,1,1.3,0.427,0,0.0,0.000,0,0.0,0.000,1,2.3,0.730,1,0.0,0.000,0.44,1
537,9,A,A,Spatial,21,Pool,8/31/2023,9.7,3.339,0.344,0.221,1,8.9,3.075,1,0.8,0.264,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.48,1
538,9,A,A,Spatial,22,Pool,8/31/2023,5.6,2.164,0.388,0.197,2,5.4,2.107,1,0.1,0.057,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.27,1
539,10,A,A,Spatial,21,Pool,8/31/2023,18.4,5.441,0.296,0.079,4,8.2,2.494,0,0.0,0.000,0,0.0,0.000,3,10.1,2.947,1,0.0,0.000,6.74,1
540,10,A,A,Spatial,22,Pool,8/31/2023,3.9,1.143,0.293,0.446,1,3.9,1.143,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.58,1
541,11,A,A,Spatial,21,Pool,8/31/2023,5.5,1.485,0.271,0.632,1,2.5,0.856,1,2.9,0.628,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.88,1
542,11,A,A,Spatial,22,Pool,8/31/2023,6.1,2.153,0.354,0.555,1,3.1,0.948,1,2.0,1.001,1,1.0,0.204,0,0.0,0.000,1,0.0,0.000,1.26,1
543,12,A,A,Spatial,21,Pool,8/31/2023,12.9,3.527,0.274,0.375,1,3.1,0.911,2,7.1,1.912,2,2.7,0.704,0,0.0,0.000,1,0.0,0.000,5.22,1
544,12,A,A,Spatial,22,Pool,8/31/2023,1.7,0.522,0.299,0.860,1,0.9,0.283,0,0.0,0.000,0,0.0,0.000,1,0.8,0.239,1,0.0,0.000,0.09,1
545,13,A,A,Spatial,21,Pool,8/31/2023,10.7,3.702,0.346,0.220,2,4.7,1.322,2,4.3,1.750,1,1.1,0.341,1,0.7,0.289,1,0.0,0.000,3.68,1
546,13,A,A,Spatial,22,Pool,8/31/2023,11.2,4.729,0.424,0.167,1,1.2,0.342,2,3.1,1.437,2,4.5,1.966,1,2.4,0.985,1,0.0,0.000,7.48,1
547,14,A,A,Spatial,21,Pool,8/31/2023,4.2,1.130,0.269,0.462,1,4.2,1.130,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.71,1
548,14,A,A,Spatial,22,Pool,8/31/2023,8.4,2.687,0.319,0.194,2,2.2,0.566,1,4.0,1.240,1,1.5,0.542,1,0.8,0.339,1,0.0,0.000,4.33,1
549,15,A,A,Spatial,21,Pool,8/31/2023,19.4,5.899,0.303,0.219,3,7.3,2.184,2,3.1,1.056,1,7.6,2.287,1,1.5,0.372,1,0.0,0.000,7.44,1
550,15,A,A,Spatial,22,Pool,8/31/2023,20.2,6.560,0.324,0.164,3,3.6,1.057,4,15.1,5.184,2,1.6,0.319,0,0.0,0.000,1,0.0,0.000,10.41,1
551,16,A,A,Spatial,21,Pool,8/31/2023,10.1,3.759,0.372,0.088,3,5.2,1.799,1,3.7,1.487,0,0.0,0.000,1,1.2,0.473,1,0.0,0.000,3.90,1
552,16,A,A,Spatial,22,Pool,8/31/2023,6.1,1.791,0.294,0.454,1,4.4,1.259,0,0.0,0.000,0,0.0,0.000,1,1.7,0.532,1,0.0,0.000,1.09,1
553,17,A,A,Spatial,21,Pool,8/31/2023,23.2,8.106,0.349,0.157,3,9.3,3.081,1,2.1,0.875,2,6.2,2.117,3,5.6,2.034,1,0.0,0.000,11.23,1
554,17,A,A,Spatial,22,Pool,8/31/2023,4.0,1.419,0.359,0.770,1,1.6,0.407,1,2.3,1.012,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.52,1
555,18,A,A,Spatial,21,Pool,8/31/2023,4.1,1.407,0.340,0.897,1,1.9,0.495,1,0.7,0.292,1,1.6,0.620,0,0.0,0.000,1,0.0,0.000,-0.01,1
556,18,A,A,Spatial,22,Pool,8/31/2023,3.3,1.035,0.319,0.880,1,1.6,0.475,0,0.0,0.000,0,0.0,0.000,1,1.6,0.560,1,0.0,0.000,0.16,1
557,19,A,A,Spatial,21,Pool,8/31/2023,5.8,1.647,0.282,0.746,1,2.0,0.531,0,0.0,0.000,0,0.0,0.000,1,3.8,1.116,1,0.0,0.000,1.07,1
558,19,A,A,Spatial,22,Pool,8/31/2023,5.3,1.772,0.332,0.582,1,1.1,0.328,0,0.0,0.000,1,3.3,1.084,1,0.9,0.360,1,0.0,0.000,2.36,1
559,20,A,A,Spatial,21,Pool,8/31/2023,9.2,2.324,0.252,0.320,1,5.1,1.300,0,0.0,0.000,0,0.0,0.000,1,4.1,1.025,1,0.0,0.000,3.04,1
560,20,A,A,Spatial,22,Pool,8/31/2023,3.4,1.001,0.296,0.938,1,1.2,0.256,1,1.5,0.608,1,0.7,0.138,0,0.0,0.000,1,0.0,0.000,0.01,1
561,21,A,A,Spatial,21,Pool,8/31/2023,19.2,6.404,0.333,0.151,2,8.0,2.268,2,5.3,1.863,2,3.5,1.485,2,2.4,0.789,1,0.0,0.000,9.33,1
562,21,A,A,Spatial,22,Pool,8/31/2023,15.1,3.599,0.238,0.314,1,4.0,0.781,1,3.6,1.030,1,7.5,1.788,0,0.0,0.000,1,0.0,0.000,6.90,1
563,22,A,A,Spatial,21,Pool,8/31/2023,18.5,6.424,0.348,0.073,3,8.9,2.852,1,1.3,0.552,1,2.7,0.985,2,5.6,2.034,1,0.0,0.000,8.99,1
564,22,A,A,Spatial,22,Pool,8/31/2023,13.3,4.273,0.320,0.242,2,3.7,1.115,1,0.7,0.227,1,2.5,0.967,2,6.4,1.964,1,0.0,0.000,6.86,1
565,23,A,A,Spatial,21,Pool,8/31/2023,2.2,0.586,0.272,0.880,1,2.1,0.586,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.09,1
566,23,A,A,Spatial,22,Pool,8/31/2023,28.0,8.189,0.292,0.124,2,4.7,1.494,3,9.4,2.747,3,8.1,1.960,2,5.9,1.987,1,0.0,0.000,17.68,1
567,24,A,A,Spatial,21,Pool,8/31/2023,11.9,4.219,0.355,0.271,2,2.1,0.638,1,2.7,0.929,1,3.2,1.183,2,3.9,1.469,1,0.0,0.000,6.28,1
568,24,A,A,Spatial,22,Pool,8/31/2023,5.7,1.801,0.316,0.524,2,2.1,0.595,1,2.8,1.032,0,0.0,0.000,1,0.8,0.174,1,0.0,0.000,0.81,1
569,25,A,A,Spatial,21,Pool,8/31/2023,12.5,3.600,0.289,0.363,3,3.9,0.973,1,1.1,0.280,2,6.0,1.823,3,1.5,0.525,1,0.0,0.000,3.62,1
570,25,A,A,Spatial,22,Pool,8/31/2023,6.3,1.986,0.318,0.384,1,1.9,0.658,0,0.0,0.000,0,0.0,0.000,1,4.4,1.328,1,0.0,0.000,2.76,1
571,26,A,A,Spatial,21,Pool,8/31/2023,7.5,2.681,0.359,0.343,1,0.8,0.208,1,1.6,0.553,1,3.5,1.273,1,1.6,0.647,1,0.0,0.000,5.08,1
572,26,A,A,Spatial,22,Pool,8/31/2023,24.1,7.224,0.300,0.165,3,7.2,2.006,1,4.3,1.354,2,2.3,0.569,3,10.4,3.295,1,0.0,0.000,11.06,1
573,1,A,A,Spatial,23,Pool,8/31/2023,8.7,1.920,0.222,0.625,1,2.1,0.439,1,0.7,0.174,2,2.5,0.613,1,3.3,0.694,1,0.0,0.000,1.09,1
574,1,A,A,Spatial,24,Pool,8/31/2023,2.0,0.551,0.269,0.754,1,2.0,0.551,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.08,1
575,2,A,A,Spatial,23,Pool,8/31/2023,53.6,17.769,0.332,0.023,5,19.1,6.248,5,16.2,5.476,3,4.1,1.492,3,14.1,4.553,1,0.0,0.000,27.11,1
576,2,A,A,Spatial,24,Pool,8/31/2023,11.1,3.551,0.321,0.256,2,3.1,0.958,2,8.0,2.594,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,4.51,1
577,3,A,A,Spatial,23,Pool,8/31/2023,9.9,2.819,0.285,0.157,2,6.7,1.787,1,3.2,1.032,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,2.79,1
578,3,A,A,Spatial,24,Pool,8/31/2023,19.4,5.428,0.280,0.180,3,5.1,1.172,2,0.6,0.176,4,6.0,1.746,4,7.7,2.335,1,0.0,0.000,7.33,1
579,4,A,A,Spatial,23,Pool,8/31/2023,5.4,1.752,0.324,0.439,1,3.7,1.215,0,0.0,0.000,0,0.0,0.000,1,1.6,0.536,1,0.0,0.000,0.78,1
580,4,A,A,Spatial,24,Pool,8/31/2023,19.7,6.559,0.333,0.171,1,4.3,1.497,1,15.4,5.062,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,8.62,1
581,5,A,A,Spatial,23,Pool,8/31/2023,6.8,2.408,0.352,0.357,2,4.5,1.621,1,0.4,0.141,0,0.0,0.000,1,1.9,0.646,1,0.0,0.000,1.08,1
582,5,A,A,Spatial,24,Pool,8/31/2023,9.4,3.100,0.331,0.176,3,4.7,1.569,3,4.7,1.531,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,2.54,1
583,6,A,A,Spatial,23,Pool,8/31/2023,7.7,2.573,0.334,0.225,1,7.7,2.573,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.58,1
584,6,A,A,Spatial,24,Pool,8/31/2023,3.3,1.249,0.376,0.901,1,0.9,0.300,1,0.4,0.181,1,2.0,0.768,0,0.0,0.000,1,0.0,0.000,0.33,1
585,7,A,A,Spatial,23,Pool,8/31/2023,4.9,1.719,0.348,0.457,1,3.2,1.184,1,1.7,0.535,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.60,1
586,7,A,A,Spatial,24,Pool,8/31/2023,4.5,1.297,0.288,0.589,1,2.8,0.979,0,0.0,0.000,0,0.0,0.000,1,1.7,0.318,1,0.0,0.000,1.07,1
587,8,A,A,Spatial,23,Pool,8/31/2023,9.2,2.911,0.318,0.357,1,3.6,1.090,1,3.8,1.104,1,1.2,0.498,1,0.5,0.220,1,0.0,0.000,3.58,1
588,8,A,A,Spatial,24,Pool,8/31/2023,6.5,2.023,0.313,0.546,1,0.8,0.252,0,0.0,0.000,1,1.1,0.279,2,4.6,1.492,1,0.0,0.000,1.53,1
589,9,A,A,Spatial,23,Pool,8/31/2023,8.4,2.789,0.330,0.389,2,6.1,1.925,1,0.5,0.265,1,1.2,0.447,1,0.5,0.152,1,0.0,0.000,1.03,1
590,9,A,A,Spatial,24,Pool,8/31/2023,6.8,2.459,0.359,0.375,2,3.7,1.371,2,3.1,1.088,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.34,1
591,10,A,A,Spatial,23,Pool,8/31/2023,4.7,1.347,0.287,0.139,2,3.6,0.958,0,0.0,0.000,0,0.0,0.000,1,1.1,0.389,1,0.0,0.000,1.19,1
592,10,A,A,Spatial,24,Pool,8/31/2023,5.8,1.914,0.329,0.588,1,0.9,0.278,0,0.0,0.000,1,1.6,0.430,2,3.3,1.206,1,0.0,0.000,1.42,1
593,11,A,A,Spatial,23,Pool,8/31/2023,6.9,2.065,0.300,0.448,1,4.5,1.448,1,0.5,0.050,1,1.9,0.567,0,0.0,0.000,1,0.0,0.000,1.76,1
594,11,A,A,Spatial,24,Pool,8/31/2023,2.8,0.623,0.223,0.699,1,2.8,0.623,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.10,1
595,12,A,A,Spatial,23,Pool,8/31/2023,3.2,0.695,0.218,0.786,1,2.0,0.609,1,1.2,0.086,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.44,1
596,12,A,A,Spatial,24,Pool,8/31/2023,14.2,4.061,0.287,0.210,2,3.6,1.010,2,10.5,3.051,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,5.32,1
597,13,A,A,Spatial,23,Pool,8/31/2023,34.3,11.289,0.329,0.112,5,16.4,4.931,4,11.8,4.381,2,1.4,0.583,2,4.7,1.394,1,0.0,0.000,12.38,1
598,13,A,A,Spatial,24,Pool,8/31/2023,60.0,18.644,0.311,0.012,6,18.9,6.401,7,25.8,6.439,2,6.9,2.778,3,8.4,3.026,0,0.0,0.000,35.54,0
599,14,A,A,Spatial,23,Pool,8/31/2023,3.0,0.752,0.250,0.606,1,3.0,0.752,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.21,1
600,14,A,A,Spatial,24,Pool,8/31/2023,13.1,4.186,0.320,0.254,2,8.3,2.622,1,2.5,0.809,0,0.0,0.000,1,2.3,0.754,1,0.0,0.000,2.58,1
601,15,A,A,Spatial,23,Pool,8/31/2023,14.6,4.714,0.322,0.132,4,10.0,3.300,1,3.1,0.931,0,0.0,0.000,2,1.6,0.483,1,0.0,0.000,4.39,1
602,15,A,A,Spatial,24,Pool,8/31/2023,25.1,7.812,0.311,0.139,4,12.0,3.475,4,13.1,4.337,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,8.57,1
603,16,A,A,Spatial,23,Pool,8/31/2023,7.7,3.025,0.394,0.353,1,1.2,0.369,1,2.1,0.854,1,2.7,1.138,1,1.7,0.664,1,0.0,0.000,4.83,1
604,16,A,A,Spatial,24,Pool,8/31/2023,7.0,2.273,0.325,0.264,2,2.7,0.896,2,2.2,0.686,1,1.8,0.561,1,0.3,0.130,1,0.0,0.000,2.17,1
605,17,A,A,Spatial,23,Pool,8/31/2023,2.1,0.633,0.306,0.942,1,1.2,0.435,0,0.0,0.000,0,0.0,0.000,1,0.8,0.198,1,0.0,0.000,0.10,1
606,17,A,A,Spatial,24,Pool,8/31/2023,3.3,1.029,0.310,0.882,1,1.5,0.365,1,1.8,0.664,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.06,1
607,18,A,A,Spatial,23,Pool,8/31/2023,4.3,1.251,0.289,0.903,1,1.6,0.334,1,1.2,0.370,1,1.5,0.547,0,0.0,0.000,1,0.0,0.000,0.01,1
608,18,A,A,Spatial,24,Pool,8/31/2023,8.4,2.886,0.346,0.300,1,3.9,1.285,1,4.5,1.602,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,2.61,1
609,19,A,A,Spatial,23,Pool,8/31/2023,7.5,2.544,0.341,0.308,1,3.3,0.904,1,1.2,0.449,1,0.5,0.214,1,2.4,0.976,1,0.0,0.000,2.19,1
610,19,A,A,Spatial,24,Pool,8/31/2023,4.0,1.175,0.290,0.839,1,1.6,0.370,0,0.0,0.000,0,0.0,0.000,1,2.4,0.805,1,0.0,0.000,0.07,1
611,20,A,A,Spatial,23,Pool,8/31/2023,25.6,6.918,0.270,0.135,2,17.9,4.699,2,5.1,1.587,2,1.6,0.285,1,1.1,0.347,1,0.0,0.000,6.75,1
612,20,A,A,Spatial,24,Pool,8/31/2023,40.7,10.930,0.268,0.042,6,21.8,5.961,4,14.3,3.776,1,1.1,0.280,2,3.6,0.912,1,0.0,0.000,15.93,1
613,21,A,A,Spatial,23,Pool,8/31/2023,8.3,2.545,0.306,0.383,1,2.3,0.700,0,0.0,0.000,0,0.0,0.000,1,6.0,1.845,1,0.0,0.000,4.85,1
614,21,A,A,Spatial,24,Pool,8/31/2023,4.2,1.106,0.263,0.431,1,4.2,1.106,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.45,1
615,22,A,A,Spatial,23,Pool,8/31/2023,10.6,3.281,0.310,0.378,1,1.7,0.372,1,7.1,2.330,1,1.8,0.579,0,0.0,0.000,1,0.0,0.000,4.13,1
616,22,A,A,Spatial,24,Pool,8/31/2023,21.0,7.034,0.334,0.158,4,10.0,3.416,2,4.4,1.625,1,3.0,1.227,3,3.6,0.766,1,0.0,0.000,8.68,1
617,23,A,A,Spatial,23,Pool,8/31/2023,60.0,17.255,0.288,0.067,3,11.2,3.047,5,17.8,5.234,4,8.9,2.757,4,22.0,6.217,0,0.0,0.000,38.98,0
618,23,A,A,Spatial,24,Pool,8/31/2023,47.3,12.051,0.255,0.094,2,9.3,1.966,4,17.7,4.895,3,16.8,3.923,1,3.5,1.268,1,0.0,0.000,31.75,1
619,24,A,A,Spatial,23,Pool,8/31/2023,60.0,19.772,0.330,0.042,6,20.2,6.506,6,14.0,4.612,5,9.1,3.387,5,16.8,5.268,0,0.0,0.000,33.09,0
620,24,A,A,Spatial,24,Pool,8/31/2023,17.0,6.002,0.353,0.192,2,3.0,0.885,2,5.3,1.983,3,6.2,2.152,2,2.5,0.982,1,0.0,0.000,9.24,1
621,25,A,A,Spatial,23,Pool,8/31/2023,30.2,9.024,0.299,0.128,3,6.5,2.094,3,21.7,6.182,1,0.2,0.064,1,1.8,0.684,1,0.0,0.000,13.35,1
622,25,A,A,Spatial,24,Pool,8/31/2023,19.9,6.606,0.332,0.135,4,4.7,1.527,4,6.6,2.148,3,4.8,1.570,3,3.8,1.360,1,0.0,0.000,9.86,1
623,26,A,A,Spatial,23,Pool,8/31/2023,37.0,11.314,0.306,0.032,4,18.4,5.292,1,2.8,1.152,1,3.7,1.143,3,12.0,3.727,1,0.0,0.000,18.27,1
624,26,A,A,Spatial,24,Pool,8/31/2023,24.8,7.050,0.284,0.105,3,7.7,2.139,1,1.3,0.455,1,4.4,1.260,3,11.3,3.196,1,0.0,0.000,12.48,1
625,1,A,A,Probe,1,Pool,8/31/2023,60.0,17.884,0.298,0.057,7,25.4,6.988,5,9.1,2.802,5,9.8,3.243,4,13.9,4.498,3,1.9,0.354,27.93,0
626,2,A,A,Probe,1,Pool,8/31/2023,60.0,19.246,0.321,0.060,15,33.2,10.683,8,17.7,5.807,2,1.9,0.524,2,3.6,1.120,7,3.6,1.112,18.04,0
627,3,A,A,Probe,1,Pool,8/31/2023,60.0,17.305,0.288,0.062,13,32.8,8.594,4,9.6,3.178,3,4.9,1.663,5,9.9,3.114,6,2.7,0.757,18.93,0
628,4,A,A,Probe,1,Pool,8/31/2023,60.0,17.295,0.288,0.080,8,17.2,4.947,7,28.5,7.981,3,10.4,3.177,2,3.5,1.034,1,0.4,0.156,31.47,0
629,5,A,A,Probe,1,Pool,8/31/2023,60.0,20.889,0.348,0.034,14,35.1,12.075,5,10.1,3.425,2,3.6,1.247,5,8.7,3.325,5,2.6,0.817,19.41,0
630,6,A,A,Probe,1,Pool,8/31/2023,60.0,19.540,0.326,0.085,12,40.3,12.776,1,3.0,1.107,2,5.2,1.480,5,8.4,3.198,7,3.1,0.979,19.43,0
631,7,A,A,Probe,1,Pool,8/31/2023,60.0,21.467,0.358,0.049,8,17.3,6.531,9,23.0,7.747,6,9.8,3.630,3,9.3,3.360,2,0.6,0.199,28.27,0
632,8,A,A,Probe,1,Pool,8/31/2023,60.0,19.010,0.317,0.052,10,31.8,9.582,5,11.1,3.564,3,6.3,2.391,3,8.7,2.864,4,2.1,0.609,22.00,0
633,9,A,A,Probe,1,Pool,8/31/2023,60.0,19.591,0.327,0.025,14,46.8,15.477,0,0.0,0.000,1,1.5,0.539,6,8.4,2.460,9,3.3,1.116,14.34,0
634,10,A,A,Probe,1,Pool,8/31/2023,60.0,17.614,0.294,0.049,9,38.3,11.109,4,11.6,3.480,2,5.7,1.771,2,2.7,0.810,4,1.7,0.445,20.83,0
635,11,A,A,Probe,1,Pool,8/31/2023,60.0,19.699,0.328,0.051,13,31.9,9.777,7,14.7,5.301,3,6.7,2.506,3,4.3,1.396,5,2.5,0.718,21.24,0
636,12,A,A,Probe,1,Pool,8/31/2023,60.0,17.944,0.299,0.052,9,45.2,13.227,5,6.4,1.965,2,2.9,0.957,2,3.9,1.324,4,1.5,0.470,16.80,0
637,13,A,A,Probe,1,Pool,8/31/2023,60.0,21.235,0.354,0.009,7,17.6,5.156,6,13.6,5.039,7,12.3,4.895,6,16.1,5.991,1,0.4,0.154,35.84,0
638,14,A,A,Probe,1,Pool,8/31/2023,60.0,17.404,0.290,0.059,10,25.4,7.503,5,8.0,2.421,5,11.1,3.048,6,13.9,3.963,4,1.6,0.469,25.53,0
639,15,A,A,Probe,1,Pool,8/31/2023,60.0,18.969,0.316,0.085,13,30.9,9.649,5,10.8,3.383,2,11.7,3.742,2,4.1,1.432,7,2.4,0.763,24.08,0
640,16,A,A,Probe,1,Pool,8/31/2023,60.0,20.020,0.334,0.055,10,31.2,10.151,3,1.8,0.594,3,7.1,2.663,8,19.5,6.470,2,0.5,0.142,25.28,0
641,17,A,A,Probe,1,Pool,8/31/2023,60.0,19.231,0.321,0.070,15,25.7,7.879,6,15.6,4.762,3,7.8,2.792,5,8.6,2.999,6,2.4,0.799,24.27,0
642,18,A,A,Probe,1,Pool,8/31/2023,60.0,21.363,0.356,0.061,11,32.0,10.834,7,14.2,5.246,4,6.9,2.613,6,6.2,2.361,2,0.8,0.309,22.54,0
643,19,A,A,Probe,1,Pool,8/31/2023,60.0,18.667,0.311,0.035,6,27.3,7.704,5,14.6,4.715,4,10.1,3.486,3,6.9,2.553,2,0.9,0.209,26.91,0
644,20,A,A,Probe,1,Pool,8/31/2023,60.0,16.513,0.275,0.027,7,28.4,8.002,4,9.9,2.338,4,9.8,2.548,5,11.5,3.464,1,0.5,0.161,27.97,0
645,21,A,A,Probe,1,Pool,8/31/2023,60.0,17.208,0.287,0.052,12,37.2,10.470,4,6.0,1.808,2,6.8,1.989,4,6.5,1.960,6,3.5,0.982,19.35,0
646,22,A,A,Probe,1,Pool,8/31/2023,60.0,19.583,0.326,0.060,10,28.0,9.175,4,9.3,2.962,3,5.8,1.864,6,16.3,5.306,2,0.7,0.277,23.48,0
647,23,A,A,Probe,1,Pool,8/31/2023,60.0,17.690,0.295,0.073,3,10.3,2.674,4,16.0,4.457,7,16.3,5.135,5,17.5,5.423,0,0.0,0.000,37.63,0
648,24,A,A,Probe,1,Pool,8/31/2023,60.0,17.951,0.299,0.057,8,14.3,4.601,6,23.5,5.950,5,11.4,3.469,7,10.7,3.931,0,0.0,0.000,32.74,0
649,25,A,A,Probe,1,Pool,8/31/2023,60.0,20.060,0.334,0.021,11,29.9,9.811,6,13.6,4.411,4,7.2,2.667,5,7.6,2.739,3,1.6,0.431,21.21,0
650,26,A,A,Probe,1,Pool,8/31/2023,60.0,17.791,0.297,0.089,7,29.5,8.258,5,18.3,5.695,2,3.7,1.243,2,8.0,2.440,1,0.5,0.155,26.21,0
